Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Kleinow J., Nell T., Rogler S., Horsch A.","56262121600;56262248800;6506282816;56261829600;","The value of being systemically important: event study on regulatory announcements for banks",2014,"Applied Financial Economics","24","24",,"1585","1604",,16,"10.1080/09603107.2014.925055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919873496&doi=10.1080%2f09603107.2014.925055&partnerID=40&md5=1c23a253f56d1aacaa7782f035db0dcd","Investment and Finance, Freiberg University of Technology, Freiberg, Germany; Accounting, Freiberg University of Technology, Freiberg, Germany","Kleinow, J., Investment and Finance, Freiberg University of Technology, Freiberg, Germany; Nell, T., Accounting, Freiberg University of Technology, Freiberg, Germany; Rogler, S., Accounting, Freiberg University of Technology, Freiberg, Germany; Horsch, A., Investment and Finance, Freiberg University of Technology, Freiberg, Germany","It is assumed that the awarding of a ‘systemic importance’ seal by the regulator has a positive effect on the equity value of its holder. By employing an event study analysis on a new set of regulatory announcements, we find that financial market participants react to these announcements which are, in effect, judgements that a certain credit institution is systemically important. However, the stock returns found for the respective banks are not exclusively positive; a phenomenon for which we provide explanations. Furthermore, our results show that market reactions on the most present event are weakest, indicating that the announcements’ informational value to market participants diminished. © 2014 Taylor & Francis.","bailout; banking regulation; financial crisis; moral hazard; systemic risk; too big to fail",,"Kleinow, J.; Investment and Finance, Germany",,"Routledge",09603107,,,,"English","Appl. Financ. Econ.",Article,"Final","",Scopus,2-s2.0-84919873496
"Jung K.I., Lim S.A., Park H.-Y.L., Park C.K.","55014272700;55556248700;36523556800;56179504300;","Risk factors for decompression retinopathy after glaucoma surgery",2014,"Journal of Glaucoma","23","9",,"638","643",,13,"10.1097/IJG.0b013e318287aba0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918792205&doi=10.1097%2fIJG.0b013e318287aba0&partnerID=40&md5=8fa071113de73f594474bd12816c4f1f","Department of Ophthalmology and Visual Science, Catholic University of Korea, Seoul St Mary's Hospital, 505 Banpo-dong, Seocho-ku, Seoul, 137-701, South Korea","Jung, K.I., Department of Ophthalmology and Visual Science, Catholic University of Korea, Seoul St Mary's Hospital, 505 Banpo-dong, Seocho-ku, Seoul, 137-701, South Korea; Lim, S.A., Department of Ophthalmology and Visual Science, Catholic University of Korea, Seoul St Mary's Hospital, 505 Banpo-dong, Seocho-ku, Seoul, 137-701, South Korea; Park, H.-Y.L., Department of Ophthalmology and Visual Science, Catholic University of Korea, Seoul St Mary's Hospital, 505 Banpo-dong, Seocho-ku, Seoul, 137-701, South Korea; Park, C.K., Department of Ophthalmology and Visual Science, Catholic University of Korea, Seoul St Mary's Hospital, 505 Banpo-dong, Seocho-ku, Seoul, 137-701, South Korea","Methods: We reviewed the medical records of patients who underwent a trabeculectomy or Ahmed valve implantation and divided them into 2 groups by the development of decompression retinopathy. Various factors were compared between the 2 groups, including age, sex, glaucoma type, previous intraocular surgery, preoperative and postoperative intraocular pressure (IOP), refractive error, axial length, anesthesia, and systemic risk factors such as history of diabetes, hypertension, medication, and a laboratory examination including hemoglobin, hematocrit, platelet, prothrombin time (PT), and activated partial thromboplastin time (aPTT).Purpose: To evaluate the risk factors for decompression retinopathy after glaucoma surgery.Results: The proportion of eyes with decompression retinopathy was 3.05% (21 of 688 eyes), and 50 control eyes were selected randomly. No significant differences were observed between the 2 groups in age, systemic disease, glaucoma type, anesthesia, or the incidence rate of postoperative hypotony. Preoperative maximum IOP and the change of IOP was higher (P=0.016, 0.019), PT and aPTT was prolonged (P=0.001, 0.006), and hemoglobin and hematocrit level was lower in patients with decompression retinopathy (P=0.005, 0.002). Preoperative maximum IOP and hemoglobin showed a significant association with the development of decompression retinopathy in a multivariate analysis (P=0.031, 0.040). No significant difference was observed between the 2 groups for IOP and visual acuity 6 months postoperatively.Conclusions: Patients with high preoperative IOP and hematologic abnormalities have a higher risk for developing decompression retinopathy. Surgeons should carefully assess the potential risks and pay close attention to sufficiently decrease IOP preoperatively. Copyright © 2013 by Lippincott Williams & Wilkins.","Ahmed glaucoma valve implantation; Decompression retinopathy; Trabeculectomy","hemoglobin; adult; aged; Ahmed valve; Article; controlled study; decompression; decompression retinopathy; female; glaucoma surgery; hematocrit; human; incidence; intraocular pressure; major clinical study; male; medical record review; partial thromboplastin time; postoperative period; prothrombin time; retinopathy; risk factor; thrombocyte; visual acuity; glaucoma; glaucoma drainage implant; middle aged; oculoplethysmography; pathophysiology; physiology; postoperative complication; Retinal Hemorrhage; retrospective study; trabeculectomy; Adult; Aged; Female; Glaucoma; Glaucoma Drainage Implants; Humans; Intraocular Pressure; Male; Middle Aged; Postoperative Complications; Retinal Hemorrhage; Retrospective Studies; Risk Factors; Tonometry, Ocular; Trabeculectomy; Visual Acuity","Park, C.K.; Department of Ophthalmology and Visual Science, 505 Banpo-dong, South Korea",,"Lippincott Williams and Wilkins",10570829,,JOGLE,"23429610","English","J. Glaucoma",Article,"Final","",Scopus,2-s2.0-84918792205
"Frank A.B., Collins M.G., Levin S.A., Lo A.W., Ramo J., Dieckmann U., Kremenyuk V., Kryazhimskiy A., Linnerooth-Bayer J., Ramalingam B., Roy J.S., Saari D.G., Thurner S., Von Winterfeldt D.","57162115600;56446150300;26643470900;7102780696;56446603600;7003359350;56000009700;56260773000;6507989523;56446690200;56446272800;7004386298;35588832000;6701464356;","Dealing with femtorisks in international relations",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","49",,"17356","17362",,26,"10.1073/pnas.1400229111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917692939&doi=10.1073%2fpnas.1400229111&partnerID=40&md5=d8108999ff1ada6d38966940bdfc80c8","Department of Computational Social Science, George Mason University, Arlington, VA  22030, United States; International Institute for Applied Systems Analysis, Laxenburg, A-2361, Austria; Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ  08544, United States; Sloan School of Management, Massachusetts Institute of Technology, Cambridge, MA  02142, United States; Kissinger Associates, New York, NY  10022, United States; Institute for US and Canadian Studies, Russian Academy of Sciences, Moscow, 123995, Russian Federation; Steklov Institute of Mathematics, Russian Academy of Sciences, Moscow, 119991, Russian Federation; Overseas Development Institute, London, United Kingdom; Kissinger Institute on China and the United States, Wilson Center, Washington, DC  20004, United States; Institute for Mathematical Behavioral Sciences, University of California, Irvine, CA  92697, United States; Medical University of Vienna, Vienna, A-1090, Austria; Daniel J. Epstein Department of Industrial and Systems Engineering, University of Southern California, Los Angeles, CA  90089, United States","Frank, A.B., Department of Computational Social Science, George Mason University, Arlington, VA  22030, United States; Collins, M.G., International Institute for Applied Systems Analysis, Laxenburg, A-2361, Austria; Levin, S.A., Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ  08544, United States; Lo, A.W., Sloan School of Management, Massachusetts Institute of Technology, Cambridge, MA  02142, United States; Ramo, J., Kissinger Associates, New York, NY  10022, United States; Dieckmann, U., International Institute for Applied Systems Analysis, Laxenburg, A-2361, Austria; Kremenyuk, V., Institute for US and Canadian Studies, Russian Academy of Sciences, Moscow, 123995, Russian Federation; Kryazhimskiy, A., International Institute for Applied Systems Analysis, Laxenburg, A-2361, Austria, Steklov Institute of Mathematics, Russian Academy of Sciences, Moscow, 119991, Russian Federation; Linnerooth-Bayer, J., International Institute for Applied Systems Analysis, Laxenburg, A-2361, Austria; Ramalingam, B., Overseas Development Institute, London, United Kingdom; Roy, J.S., Kissinger Institute on China and the United States, Wilson Center, Washington, DC  20004, United States; Saari, D.G., Institute for Mathematical Behavioral Sciences, University of California, Irvine, CA  92697, United States; Thurner, S., International Institute for Applied Systems Analysis, Laxenburg, A-2361, Austria, Medical University of Vienna, Vienna, A-1090, Austria; Von Winterfeldt, D., Daniel J. Epstein Department of Industrial and Systems Engineering, University of Southern California, Los Angeles, CA  90089, United States","The contemporary global community is increasingly interdependent and confronted with systemic risks posed by the actions and interactions of actors existing beneath the level of formal institutions, often operating outside effective governance structures. Frequently, these actors are human agents, such as rogue traders or aggressive financial innovators, terrorists, groups of dissidents, or unauthorized sources of sensitive or secret information about government or private sector activities. In other instances, influential ""actors"" take the form of climate change, communications technologies, or socioeconomic globalization. Although these individual forces may be small relative to state governments or international institutions, or may operate on long time scales, the changes they catalyze can pose significant challenges to the analysis and practice of international relations through the operation of complex feedbacks and interactions of individual agents and interconnected systems. We call these challenges ""femtorisks,"" and emphasize their importance for two reasons. First, in isolation, they may be inconsequential and semiautonomous; but when embedded in complex adaptive systems, characterized by individual agents able to change, learn from experience, and pursue their own agendas, the strategic interaction between actors can propel systems down paths of increasing, even global, instability. Second, because their influence stems from complex interactions at interfaces of multiple systems (e.g., social, financial, political, technological, ecological, etc.), femtorisks challenge standard approaches to risk assessment, as higher-order consequences cascade across the boundaries of socially constructed complex systems. We argue that new approaches to assessing and managing systemic risk in international relations are required, inspired by principles of evolutionary theory and development of resilient ecological systems.","Complex adaptive systems; Contagion; Resilience; Risk analysis; Systemic risk","Arab; Article; authority; biological model; climate change; coping behavior; decision making; economics; environmental change; femtorisk; financial deficit; government; homicide; human; international relations; kidnapping; policy; risk; risk assessment; spring; Ukraine; war; winter","Frank, A.B.; Department of Computational Social Science, George Mason UniversityUnited States",,"National Academy of Sciences",00278424,,PNASA,,"English","Proc. Natl. Acad. Sci. U. S. A.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84917692939
"Jin X., Nadal De Simone F.","56014276300;24454107100;","A framework for tracking changes in the intensity of investment funds' systemic risk",2014,"Journal of Empirical Finance","29",,,"343","368",,9,"10.1016/j.jempfin.2014.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027955341&doi=10.1016%2fj.jempfin.2014.09.002&partnerID=40&md5=be747d68072f0cf4cac238da7a1b2fd6","Luxembourg School of Finance, University of Luxembourg, Luxembourg; Banque centrale du Luxembourg, Luxembourg","Jin, X., Luxembourg School of Finance, University of Luxembourg, Luxembourg; Nadal De Simone, F., Banque centrale du Luxembourg, Luxembourg","This study applies to investment funds a novel framework which combines marginal probabilities of distress estimated from a structural credit risk model with the consistent information multivariate density optimization (CIMDO) methodology and the generalized dynamic factor model (GDFM). The framework models investment funds' distress dependence explicitly and captures the time-varying non-linearities and feedback effects typical of financial markets. It measures investment funds' systemic credit risk in three forms: (1) credit risk common to all funds within each of the seven categories the Eurosystem reports to the ECB; (2) credit risk in each category of investment fund conditional on distress on another category of investment fund and; (3) the buildup of investment funds' vulnerabilities over time which may unravel disorderly. In addition, the estimates of the common components of the investment funds' distress measures contain early warning features, and the identification of their drivers is useful for macroprudential policy. The ranking of drivers of those common components in terms of importance differs from the ranking of the drivers of the common components of marginal measures of distress. This framework contributes to the formulation of macroprudential policy. © 2014 Elsevier B.V.","C1; Dynamic copulas; E5; F3; Financial stability; G1; Generalized dynamic factor model; Investment funds; Macroprudential policy; Probability of distress",,"Jin, X.; Luxembourg School of Finance, 4 Rue Albert Borschette, Luxembourg; email: xisong.jin@uni.lu",,"Elsevier B.V.",09275398,,JEFIE,,"English","J. Empir. Financ.",Article,"Final","",Scopus,2-s2.0-85027955341
"Gunningham N., Sinclair D.","6603568702;7202616958;","The impact of safety culture on systemic risk management",2014,"European Journal of Risk Regulation","5","4","00409","","",,2,"10.1017/S1867299X00004098S1867299X00004098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016084986&doi=10.1017%2fS1867299X00004098S1867299X00004098&partnerID=40&md5=c76dcf59c6438a577c7115bb90d8f362","Regulatory Institutions Network, The Australian National University, Australia; Ferner School of Environment and Society, ANU College of Medicine, Biology and Environment, Australia","Gunningham, N., Regulatory Institutions Network, The Australian National University, Australia; Sinclair, D., Ferner School of Environment and Society, ANU College of Medicine, Biology and Environment, Australia","Notwithstanding impressive gains in occupational safety across the Australian coal mining sector, this research reveals that even within the same company, some mines substantially outperform others in terms of safety outcomes, raising questions as to why, notwithstanding the introduction of sophisticated and systemic risk management mandated by government, such variation still exists. Potential contributory variables are considered (technology, physical environment, management systems), and discarded, before examining the role of safety culture. Drawing on qualitative (interviews) and quantitative research (safety statistics and audit results) it was found that distinctive patterns of site and context specific cultural factors align to safety performance. The article provides insights as to whether, to what extent or in what circumstances site specific cultural variables, served to undermine or reinforce the effectiveness of the company's overall risk management strategy. © Cambridge University Press 2014.",,,,,"Cambridge University Press",1867299X,,,,"English","Eur. J. Risk Regul.",Article,"Final","",Scopus,2-s2.0-85016084986
"Humphreys A., Thompson C.J.","14034174700;35615849100;","Branding disaster: Reestablishing trust through the ideological containment of systemic risk anxieties",2014,"Journal of Consumer Research","41","4",,"877","910",,86,"10.1086/677905","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928250529&doi=10.1086%2f677905&partnerID=40&md5=c74f81561393dd107073355e83a0f0dd","Medill School of Journalism, Northwestern University, 1870 S. Campus Drive, Evanston, IL  60202, United States; University of Wisconsin-Madison, Madison, WI  53706, United States","Humphreys, A., Medill School of Journalism, Northwestern University, 1870 S. Campus Drive, Evanston, IL  60202, United States; Thompson, C.J., University of Wisconsin-Madison, Madison, WI  53706, United States","Drawing from literary criticism and institutional theory, this article analyzes the public discourse surrounding the Exxon Valdez spill of 1989 and BP Gulf Spill of 2010. While industrial accidents such as oil spills can erode consumers’ trust in experts, a macrolevel analysis reveals that media coverage of such events ultimately contains the anxieties that are sparked by initial news coverage. The brandcentric disaster myths generated by media coverage frame public discourse in ways that help to reestablish consumers’ trust in expert systems while also insulating corporations and governmental institutions from more systematic critiques. This analysis contributes to a macrolevel theorization of the institutional and ideological structures that shape consumers’ risk perceptions and just world beliefs. It also extends prior accounts of cultural branding by identifying a set of ideological effects that operate in concert with the more commonly discussed therapeutic benefits afforded by marketplace myths. © 2014 by JOURNAL OF CONSUMER RESEARCH, Inc. All rights reserved.",,,"Humphreys, A.; Medill School of Journalism, 1870 S. Campus Drive, United States; email: a-humphreys@northwestern.edu",,"University of Chicago Press",00935301,,,,"English","J. Consum. Res.",Article,"Final","",Scopus,2-s2.0-84928250529
"Castro Miranda R.C., Stancato de Souza S.R., Silva T.C., Tabak B.M.","57160449300;57104593300;36884157600;6602910863;","Connectivity and systemic risk in the Brazilian national payments system",2014,"Journal of Complex Networks","2","4",,"585","613",,9,"10.1093/comnet/cnu022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926016370&doi=10.1093%2fcomnet%2fcnu022&partnerID=40&md5=4d9241d0eee82366339fe72c761864ca","Research Department, Banco Central do Brasil, Brasília, Brazil; Universidade Católica de Brasília, Brasília, Brazil","Castro Miranda, R.C., Research Department, Banco Central do Brasil, Brasília, Brazil; Stancato de Souza, S.R., Research Department, Banco Central do Brasil, Brasília, Brazil; Silva, T.C., Research Department, Banco Central do Brasil, Brasília, Brazil; Tabak, B.M., Research Department, Banco Central do Brasil, Brasília, Brazil, Universidade Católica de Brasília, Brasília, Brazil","In this paper, we analyse a unique dataset, which comprises funds transfers processed by the Brazilian Payments System (BPS), using network theory concepts. The conducted analyses reveal that there is a subset of financial institutions that act as money centres. The local importance of financial institutions is moderately concentrated and assumes increased values between 2006 and 2011. Moreover, we investigate the impact that default of institutions cause on their neighbourhood and also find the most probable contagion paths within the banking system. The contagion paths change over time, but the network's central institutions remain the same. In order to assess the systemic impact of the banks' defaults, we simulate default cascades and complement the results with liquidity and solvency stress measures. We find that failure cascades hardly happen. When they do occur, the average propagation chain's length is very short. We also do not find any significant stress measure associated with banks' defaults. As a consequence, we do not find evidence of significant systemic risk associated with the BPS. Finally, we extract topological information of the network's structure by using several network measures, such as ones related to centrality and degree correlation. The extracted information is relevant for monitoring the financial stability and for understanding, in an intuitive way, many structural characteristics of the investigated network. © The authors 2014.","Complex networks; Contagion path; Payments system; Systemic risk","Complex networks; Contagion path; Degree correlation; Financial institution; Financial stability; Payments system; Structural characteristics; Systemic risks; Topological information; Finance","Stancato de Souza, S.R.; Research Department, Brazil; email: sergio.souza@bcb.gov.br",,"Oxford University Press",20511310,,,,"English","J. Complex Netw.",Article,"Final","",Scopus,2-s2.0-84926016370
"Lastra R.M.","57203071461;","Do we need a world financial organization?",2014,"Journal of International Economic Law","17","4",,"787","805",,10,"10.1093/jiel/jgu041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925351447&doi=10.1093%2fjiel%2fjgu041&partnerID=40&md5=bfbf88ea64dc14ed5608750a1c597888","International Financial and Monetary Law, Centre for Commercial Law Studies, Queen Mary University of London, United Kingdom","Lastra, R.M., International Financial and Monetary Law, Centre for Commercial Law Studies, Queen Mary University of London, United Kingdom","International trade law under WTO is a mature field of international economic law (IEL). In contrast, international monetary and financial law is still emerging as a discipline within IEL. With the exception of the International Monetary Fund (IMF), international monetary and financial law is still characterized by the predominance of soft law, soft obligations, and an informal institutional structure. Financial markets have become much more international in recent decades, while their regulation, supervision and - if necessary - resolution remain constrained by the domain of domestic jurisdictions. The global financial crisis has taught us several lessons. One of them is that banking crises often lead to sovereign debt crises because of the vicious link between bank debt and sovereign debt (the so-called 'doom loop', the catalyst for the adoption of banking union in the EU). Another lesson is that financial institutions retrench to national frontiers when things turn sour (they live globally, but die nationally). This state of affairs has to change if financial institutions and markets can remain credibly global. It is urgent and important to devise adequate international structures and international norms to govern financial markets and to control systemic risk in finance. The debate about the need for a World Financial Organization ought to be understood in this context. © 2014 © The Author 2014. Published by Oxford University Press. All rights reserved.",,,"Lastra, R.M.; International Financial and Monetary Law, United Kingdom; email: r.lastra@qmul.ac.uk",,"Oxford University Press",13693034,,,,"English","J. Int. Econ. Law.",Review,"Final","",Scopus,2-s2.0-84925351447
"Garratt R.J., Mahadeva L., Svirydzenka K.","7005673199;7801519606;56033188800;","The great entanglement: The contagious capacity of the international banking network just before the 2008 crisis",2014,"Journal of Banking and Finance","49",,,"367","385",,12,"10.1016/j.jbankfin.2013.12.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922336500&doi=10.1016%2fj.jbankfin.2013.12.025&partnerID=40&md5=26a14ec385ca5d64eca85b17f2d6af4d","University of California, Santa Barbara and Federal Reserve Bank of New York, United States; Oxford Institute for Energy Studies, A Recognised Independent Centre of the University of Oxford, United Kingdom; International Monetary Fund, United States","Garratt, R.J., University of California, Santa Barbara and Federal Reserve Bank of New York, United States; Mahadeva, L., Oxford Institute for Energy Studies, A Recognised Independent Centre of the University of Oxford, United Kingdom; Svirydzenka, K., International Monetary Fund, United States","Systemic risk among the network of international banking groups arises when financial stress threatens to crisscross many national boundaries and expose imperfect international coordination. To assess this risk, we consider three decades of data on the cross-border interbank market. We use Rosvall and Bergstrom's (2008) information theoretic map equation to partition banking groups from 21 countries into modules that reveal the contagious capacity of the network. We show that in the late 1980s four important financial centers formed one large super cluster that was highly contagious in terms of transmission of stress within its ranks, but less contagious on a global scale. But the expansion leading to the 2008 crisis left more transmitting hubs sharing the same total influence as a few large modules had previously. We show that this greater entanglement meant the network was more broadly contagious, and not that risk was more shared. Thus, our analysis contributes to our understanding as to why defaults in US sub-prime mortgages spread quickly through the global financial system. © 2014 Elsevier B.V.","Information theory; Interconnectedness; Network analysis; Systemic risk",,"Mahadeva, L.; Oxford Institute for Energy Studies, A Recognised Independent Centre of the University of OxfordUnited Kingdom",,"Elsevier",03784266,,JBFID,,"English","J. Bank. Financ.",Article,"Final","",Scopus,2-s2.0-84922336500
"Balla E., Ergen I., Migueis M.","24402792800;56118060100;55584596800;","Tail dependence and indicators of systemic risk for large US depositories",2014,"Journal of Financial Stability","15",,,"195","209",,30,"10.1016/j.jfs.2014.10.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919331271&doi=10.1016%2fj.jfs.2014.10.002&partnerID=40&md5=8a51b7f60ea04de61f208d4181e1d523","Federal Reserve Bank of Richmond, United States; Federal Reserve Board, United States; Federal Reserve Bank of Richmond, Baltimore Office, 502 S. SharpStreet, Baltimore, MD  21201, United States","Balla, E., Federal Reserve Bank of Richmond, United States, Federal Reserve Bank of Richmond, Baltimore Office, 502 S. SharpStreet, Baltimore, MD  21201, United States; Ergen, I., Federal Reserve Bank of Richmond, United States, Federal Reserve Bank of Richmond, Baltimore Office, 502 S. SharpStreet, Baltimore, MD  21201, United States; Migueis, M., Federal Reserve Board, United States","In this study, we investigate the extreme loss tail dependence between stock returns of large US depository institutions. We find that stock returns exhibit strong loss dependence even in their limiting joint extremes. Motivated by this result, we derive extremal dependence-based systemic risk indicators. The proposed systemic risk indicators reflect downturns in the US financial industry very well. We also develop a set of firm-level average extremal dependence measures. We show that these firm-level measures could have been used to identify the firms that were more vulnerable to the 2007-2008 financial crisis. Additionally, we explore the performance of selected systemic risk indicators in predicting the crisis performance of large US depository institutions and find that the average stock return correlations are also good predictors of crisis period returns. Finally, we identify factors predictive of extremal dependence for the US depository institutions in a panel regression setting. Strength of extremal dependence increases with asset size and similarity of financial fundamentals. On the other hand, strength of extremal dependence decreases with capitalization, liquidity, funding stability and asset quality. We believe the proposed indicators have the potential to inform the prudential supervision of systemic risk. © 2014.","Extreme value dependence; Systemic risk; Systemically important financial institutions",,"Balla, E.; Board of Governors of the Federal Reserve System, Division of Banking Supervision and Regulation, 20th and C Streets, NW, Mail Stop 1809, United States",,"Elsevier",15723089,,,,"English","J. Financ. Stab.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-84919331271
