Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour,bib_src
103-677-731-097-66X,A Systemic Risk Indicator for Leveraged Finance Exposure in the Banking System,,2022.0,conference proceedings article,6th FEB International Scientific Conference 2022,,University of Maribor Press,,Gennaro de Novellis; Paola Musile Tanzi; Elena Stanghellini,"<jats:p>In recent years, the context of the banking system,characterised by expansive monetary policies, has boosted the investments in leveraged loans. The COVID-19 pandemic brought the first real slowdown of the global economy since the financial crisis of 2007-08, and the growth of the leveraged loan market has been subject to significant attention from the competent authorities. Banks have remained solid despite the adverse outlook, however, the banking landscape continues to be impacted by the uncertainty relating to the evolution of the pandemic. The original sample for this paper, made up of leveraged loans, combines instrument-specific information with information on financial borrowing and the composition of the syndicate of banks/lenders. The aim of the paper is to identify a systemic risk indicator that takes into account the concentration of credit risk within each bank. For this purpose, using an Mquantile regression, it is possible to obtain an indicator (Mquantile coefficient) for each bank that varies between 0 and 1, where higher values indicate the greater presence of risky leveraged loans in that specific bank. Combined with an indicator of loan sharing between banks, this also allows a graphical representation of the network of banks in this specific market.</jats:p>",,,,,,,,,,,http://dx.doi.org/10.18690/um.epf.5.2022.19,,10.18690/um.epf.5.2022.19,,,0,,0,False,,,lens
074-628-298-689-013,Systemic risk analytics: A data-driven multi-agent financial network (MAFN) approach,2013-08-30,2013.0,journal article,Journal of Banking Regulation,17456452; 17502071,Springer Science and Business Media LLC,United States,Sheri M Markose,"Systemic risk from financial intermediaries (FIs) refers to a negative externality problem, which is rife with fallacy of composition-type errors. To ‘see’ why seemingly rational behaviour at the level of an individual FI contributes to system-wide instability is a non-trivial exercise, which requires holistic visualization and modelling techniques. Paradox of volatility inherent to market price-based measures of systemic risk has made bilateral balance sheet and off balance data between FIs and network analysis essential for systemic risk management. There is both a data and a skills gap in implementing large-scale data-driven multi-agent financial network models that can operationalize macro-prudential policy. Different designs for a Pigou-type systemic risk surcharge are discussed with special reference to the Markose eigen-pair method, which simultaneously determines the degree of instability of the network of financial flows of obligors and also the rank order in the centrality of FIs contributing to it.",14,3,285,305,Finance; Systemic risk; Economics; Capital adequacy ratio; Balance sheet; Corporate governance; Financial risk management; Centrality; Financial intermediary; Analytics,,,,,http://www.acefinmod.com/docs/BigDataandsystemicriskanalyticsSubmittedFinal17May%20Sheri%20MarkoseJBR.pdf https://link.springer.com/article/10.1057%2Fjbr.2013.10 https://link.springer.com/article/10.1057/jbr.2013.10/fulltext.html https://ideas.repec.org/a/pal/jbkreg/v14y2013i3p285-305.html https://link.springer.com/content/pdf/10.1057%2Fjbr.2013.10.pdf https://EconPapers.repec.org/RePEc:pal:jbkreg:v:14:y:2013:i:3:p:285-305 http://repository.essex.ac.uk/12248/ https://core.ac.uk/display/74371187,http://dx.doi.org/10.1057/jbr.2013.10,,10.1057/jbr.2013.10,2109534397,,0,000-916-126-057-046; 001-355-306-290-901; 001-540-558-635-35X; 003-803-424-332-155; 003-820-584-591-441; 005-551-128-069-895; 009-498-142-516-298; 013-118-111-585-482; 013-203-804-862-59X; 014-744-329-084-394; 015-060-513-258-680; 016-404-762-876-829; 017-421-298-700-053; 018-249-138-257-990; 019-687-296-589-620; 020-699-158-967-631; 021-795-063-162-773; 022-251-860-277-646; 022-609-226-545-432; 024-828-296-919-906; 026-028-860-458-627; 032-726-822-328-27X; 033-254-404-268-36X; 040-254-949-205-098; 040-993-307-018-29X; 041-145-303-622-646; 041-957-605-127-468; 042-387-243-987-771; 043-098-145-788-803; 043-796-302-997-51X; 044-013-598-133-78X; 044-469-580-444-50X; 045-621-917-355-01X; 046-702-361-910-006; 051-834-170-778-597; 052-466-504-607-57X; 052-619-799-818-546; 054-293-409-557-957; 056-278-363-680-032; 057-009-805-315-309; 057-229-969-248-039; 058-009-348-224-124; 058-504-344-679-015; 059-934-099-107-836; 059-977-711-279-010; 060-198-985-993-214; 061-047-185-991-841; 062-287-556-567-476; 062-665-995-202-765; 064-453-283-762-981; 065-120-565-419-066; 066-044-456-127-763; 066-740-154-957-592; 071-093-734-097-384; 073-700-878-638-164; 074-849-208-298-983; 075-897-862-903-52X; 076-110-534-820-623; 078-350-232-946-138; 082-993-387-956-350; 087-531-693-607-218; 089-450-601-061-368; 091-697-140-316-685; 093-153-420-490-239; 094-536-533-871-972; 101-754-013-906-702; 104-103-219-632-911; 105-606-479-170-427; 106-871-893-307-939; 110-977-968-678-874; 118-740-565-396-384; 122-398-653-590-957; 123-184-204-550-362; 124-234-879-244-688; 124-548-275-720-331; 132-233-546-905-789; 132-260-384-475-272; 133-207-616-913-993; 138-091-537-508-762; 138-488-531-828-883; 139-025-166-443-808; 139-252-933-035-806; 142-631-391-157-152; 142-899-965-580-740; 147-055-809-833-920; 147-347-703-593-281; 149-072-355-976-691; 149-503-486-528-348; 150-724-220-992-957; 155-330-219-797-433; 165-953-013-282-470; 169-145-562-046-390; 170-056-544-686-862; 171-330-967-937-139; 173-725-380-373-900; 176-144-577-800-05X; 177-663-500-742-403; 179-771-902-584-867; 181-815-727-769-293; 182-391-029-544-353; 184-605-626-502-307; 185-921-089-685-072; 186-677-543-910-482; 187-044-216-430-496; 189-360-627-444-099; 192-182-712-951-086; 194-621-551-579-846; 197-722-239-417-254; 198-131-103-449-267,22,True,,green,lens
102-080-034-526-328,Barriers to systemic work stress prevention in Australian organisations,,2015.0,dissertation,,,,,Richard T Kasperczyk,"This thesis addresses the question of why work stress prevention has not been; adopted systemically in organisations, despite some research findings that it is; effective, that it has been mandated by legislative regulations and that it has the; potential for significant cost savings. Work stress is recognised as an increasing and; global problem in terms of negative economic, health and social outcomes. Its; significant costs related to work injury compensation have resulted in growing; pressure from governmental health and safety jurisdictions for organisations to; manage and prevent stress through systemic risk management approaches.",,,,,Public economics; Mental health; Business; Systemic risk; Occupational safety and health; Legislation; Compensation (psychology); Work stress; Risk management; Public relations; Legislature,,,,,https://vuir.vu.edu.au/29886/,https://vuir.vu.edu.au/29886/,,,2275652464,,0,001-284-162-447-272; 001-648-036-763-965; 002-045-634-301-246; 002-863-197-782-436; 003-016-558-196-90X; 003-526-875-292-516; 004-048-495-317-411; 004-347-002-434-75X; 004-758-620-359-757; 006-276-673-442-483; 006-366-267-216-404; 006-653-752-220-599; 007-126-558-305-777; 007-748-783-213-04X; 008-315-708-036-63X; 008-467-126-347-895; 008-934-951-088-301; 009-617-629-630-227; 009-905-595-001-348; 010-027-967-887-346; 015-671-942-322-41X; 016-454-759-221-608; 016-535-556-359-660; 016-679-853-255-676; 017-289-447-657-154; 017-299-560-013-923; 017-731-027-042-953; 018-375-718-229-889; 018-508-631-527-337; 020-850-703-055-46X; 022-097-013-242-44X; 023-227-003-398-386; 023-392-904-606-030; 026-275-325-050-935; 026-861-477-905-965; 026-893-437-982-751; 028-310-431-955-379; 028-565-320-407-809; 029-204-127-847-362; 029-825-036-388-836; 030-416-332-949-405; 032-496-746-024-109; 032-868-370-416-239; 033-553-812-375-535; 034-583-972-987-50X; 034-687-426-031-232; 036-743-469-662-241; 036-786-417-839-121; 037-998-796-473-801; 038-146-274-543-928; 038-820-540-109-844; 039-839-599-936-517; 040-469-590-985-03X; 041-637-549-191-525; 043-504-507-444-022; 043-877-400-059-943; 045-016-781-605-052; 045-456-964-165-722; 046-193-132-992-375; 048-044-438-443-081; 048-214-999-047-029; 048-762-626-909-308; 049-294-146-696-034; 049-601-841-285-955; 049-814-635-653-103; 050-755-445-140-655; 052-820-591-039-345; 053-246-521-169-50X; 053-864-296-611-960; 055-498-815-134-39X; 056-445-376-340-278; 056-944-883-801-311; 057-099-853-123-83X; 057-644-349-754-916; 057-756-788-077-247; 058-338-131-312-155; 061-770-894-364-165; 062-263-229-354-127; 062-605-298-093-546; 062-898-422-565-750; 064-378-657-621-693; 064-532-446-481-785; 064-620-308-291-190; 065-498-516-108-557; 065-508-852-652-283; 065-834-117-751-457; 066-796-775-584-015; 068-339-741-312-90X; 068-785-093-895-309; 071-234-624-093-856; 071-244-301-728-254; 072-432-968-135-662; 072-813-444-486-030; 072-995-423-393-062; 073-295-207-113-432; 074-399-554-920-776; 074-535-886-001-104; 075-989-312-155-844; 076-406-954-342-579; 076-581-492-193-043; 078-093-943-987-150; 078-119-116-381-596; 079-864-090-537-420; 081-480-270-967-611; 082-339-935-844-506; 082-409-683-121-109; 082-578-462-132-40X; 083-653-297-681-045; 084-883-918-096-739; 085-254-814-520-587; 085-384-898-109-757; 086-250-586-480-162; 087-106-777-896-558; 087-815-456-700-333; 088-183-001-315-862; 089-311-273-123-135; 089-829-550-507-505; 091-071-496-850-227; 092-584-618-329-510; 093-070-133-029-622; 093-132-666-423-869; 095-008-639-184-115; 095-140-614-923-194; 095-251-831-397-030; 095-806-290-405-099; 098-777-100-429-858; 099-140-245-593-040; 099-167-496-298-409; 100-131-536-346-188; 100-193-671-713-511; 100-904-504-283-831; 101-130-829-257-762; 102-349-488-173-319; 102-811-612-044-993; 104-351-146-047-465; 106-325-524-170-609; 107-025-540-234-758; 109-282-423-387-464; 109-825-358-015-08X; 111-220-315-681-322; 113-607-488-524-13X; 115-825-201-327-066; 117-748-107-335-293; 118-154-819-792-124; 118-436-498-799-426; 120-325-809-654-09X; 123-341-427-382-841; 123-800-663-848-21X; 127-304-334-370-895; 130-398-312-699-460; 130-763-790-078-450; 132-917-498-648-18X; 133-973-475-693-319; 134-408-511-198-230; 135-227-793-053-884; 135-810-536-464-277; 137-326-159-660-181; 139-621-194-891-65X; 142-348-721-844-024; 142-840-326-080-559; 142-953-943-747-348; 143-515-394-914-938; 150-879-521-450-031; 151-457-249-928-230; 153-023-867-376-917; 153-758-381-091-644; 156-290-917-431-175; 157-310-700-367-944; 158-743-690-295-990; 160-645-837-622-937; 164-808-860-603-32X; 168-952-067-454-666; 170-001-981-055-948; 170-921-566-700-964; 171-240-587-575-210; 172-940-103-278-927; 176-241-134-682-896; 186-248-066-582-336; 188-766-483-151-53X; 196-066-236-455-598; 196-275-434-063-916,0,False,,,lens
060-159-440-646-034,Central serous chorioretinopathy imaging biomarkers,2020-12-07,2020.0,journal article,The British journal of ophthalmology,14682079; 00071161,BMJ,United Kingdom,Sumit Randhir Singh; Claudio Iovino; Dinah Zur; Dua Masarwa; Matias Iglicki; Ramkailash Gujar; Marco Lupidi; Dmitrii S. Maltsev; Elodie Bousquet; Mehdi Bencheqroun; Francesca Amoroso; Luiz H. Lima; Srikanta Kumar Padhy; Vishal Govindahari; Khushboo Chandra; Eric H Souied; Francisco Rodríguez; Laura A Daza; Hernan Andres Rios; Carlo Cagini; Enrico Peiretti; Francine Behar-Cohen; Jay Chhablani,"Purpose To identify the factors predicting the visual and anatomical outcomes in eyes with central serous chorioretinopathy (CSCR) through 12 months. Methods Patients with diagnosis of CSCR, either acute or chronic, were included in this multicentric, retrospective study. Demographic factors; systemic risk factors; central macular thickness (CMT), subfoveal choroidal thickness (SFCT), linear extent of ellipsoid zone (EZ) and interdigitation zone damage on optical coherence tomography; details of leak on fluorescein angiography and indocyanine green angiography were included as predictors of anatomical and visual outcomes. Regression analysis was performed to correlate the changes in best corrected visual acuity (BCVA) and resolution of disease activity. Results A total of 231 eyes of 201 patients with a mean age (49.7±11.8 years) were analysed. A total of 97 and 134 eyes were classified as acute and chronic CSCR. BCVA (0.35±0.31 to 0.24±0.34; p Conclusion OCT parameters such as changes in both CMT and SFCT along with subfoveal EZ damage can be predictive of disease resolution whereas changes in CMT and baseline SRF height correlate well with changes in BCVA through 12 months.",106,4,317422,558,Ophthalmology; Serous fluid; Retrospective cohort study; Optical coherence tomography; Fluorescein angiography; Indocyanine green angiography; Mean age; Best corrected visual acuity; Disease activity; Medicine,imaging; treatment medical,"Adult; Biomarkers; Central Serous Chorioretinopathy/diagnosis; Fluorescein Angiography; Humans; Middle Aged; Retrospective Studies; Tomography, Optical Coherence; Visual Acuity",Biomarkers,,https://pure.urosario.edu.co/es/publications/central-serous-chorioretinopathy-imaging-biomarkers https://pubmed.ncbi.nlm.nih.gov/33288526/ https://research.unipg.it/handle/11391/1496551 https://bjo.bmj.com/content/early/2020/12/14/bjophthalmol-2020-317422 https://europepmc.org/article/MED/33288526 https://bjo.bmj.com/content/bjophthalmol/early/2020/12/14/bjophthalmol-2020-317422.full.pdf https://www.ncbi.nlm.nih.gov/pubmed/33288526,http://dx.doi.org/10.1136/bjophthalmol-2020-317422,33288526,10.1136/bjophthalmol-2020-317422,3112124962,,0,002-470-921-035-531; 003-312-330-451-43X; 011-680-058-635-860; 011-738-901-881-950; 014-227-315-844-502; 017-030-505-310-616; 019-080-843-883-220; 019-485-673-925-103; 021-077-199-079-630; 029-078-735-912-776; 030-600-205-638-225; 034-662-567-678-688; 040-466-643-521-180; 041-115-535-306-071; 041-719-734-646-068; 048-710-338-199-466; 059-479-866-500-363; 061-580-106-510-313; 068-948-487-755-783; 080-617-029-750-799; 081-889-676-575-910; 083-640-659-221-618; 092-303-146-344-021; 141-262-981-876-58X; 175-180-370-899-605,17,False,,,lens
140-418-722-161-75X,Model-based indicators for the identification of cyclical systemic risk,2021-01-03,2021.0,journal article,Empirical Economics,03777332; 14358921,Physica-Verlag,Germany,Jorge E. Galán; Javier Mencia,"The credit-to-GDP gap, as proposed by the Basel methodology, is the reference measure for the activation of the Countercyclical Capital Buffer. However, most of the countries implementing this instrument in recent years are not following its signals due to the large downward biases that it is presenting after the last financial crisis that do not reflect properly the current macrofinancial environment. In this context, credit gap measures that incorporate economic fundamentals may provide more accurate signals of cyclical systemic risk. We propose two alternative model-based indicators that account for these factors. We assess their performance using time series data from the 1970s for six European countries and compare them to the Basel gap. We find that our proposed models provide more accurate early warning signals of the build-up of cyclical systemic risk than the Basel gap, as well as lower biases after rapid changes in fundamentals. Furthermore, we identify the model specifications that are optimal for each of the countries considered. Our flexible approach can easily accommodate national specificities, which are key to maximize the performance of the models.",61,6,1,33,Systemic risk; Econometrics; Time series; Economics; Financial crisis; Context (language use); Warning system; Identification (information); Capital (economics),,,,,https://econpapers.repec.org/article/sprempeco/v_3a61_3ay_3a2021_3ai_3a6_3ad_3a10.1007_5fs00181-020-01993-2.htm https://link.springer.com/article/10.1007/s00181-020-01993-2 https://ideas.repec.org/a/spr/empeco/v61y2021i6d10.1007_s00181-020-01993-2.html,https://econpapers.repec.org/article/sprempeco/v_3a61_3ay_3a2021_3ai_3a6_3ad_3a10.1007_5fs00181-020-01993-2.htm,,,3120760552,,0,004-444-967-570-541; 007-360-564-323-635; 007-922-150-573-775; 008-271-655-709-260; 009-436-952-432-180; 010-082-183-376-582; 010-473-221-502-403; 011-744-340-434-210; 016-239-106-990-387; 017-197-286-656-813; 017-249-810-343-672; 020-622-703-622-466; 022-169-339-890-463; 031-726-702-699-723; 035-179-259-308-526; 040-993-307-018-29X; 041-134-028-440-982; 041-494-609-613-756; 046-593-658-166-492; 048-783-262-860-269; 050-912-665-267-70X; 051-989-441-161-692; 059-690-364-621-644; 060-313-041-029-808; 062-396-880-208-961; 067-743-826-495-651; 068-892-590-192-069; 070-122-665-911-904; 079-107-305-724-672; 080-703-207-411-302; 083-597-989-491-775; 085-077-323-603-826; 097-352-194-138-508; 109-708-527-768-283; 118-072-486-463-795; 121-547-438-018-122; 131-235-307-528-886; 140-192-503-616-065; 142-788-921-824-932; 165-504-542-003-189; 168-564-855-529-222; 171-512-376-915-971; 174-209-802-111-587; 179-874-430-704-147; 186-820-919-296-214; 190-910-933-234-507; 196-433-555-608-637,1,False,,,lens
077-120-703-312-87X,Wspolczesne wyzwania rynku finansowego (Contemporary challenges of the financial market),,2014.0,,Research Papers in Economics,,,,Patrycja Chodnicka; Małgorzata Olszak,"The book describes the contemporary problems and challenges of governing the financial market. The authors divided the issues associated with it in two parts. The first concerns the challenges of governing the banking sector. The authors discuss the analysis of systemic risk within the banking sector in the Balkan countries and the management and marketing of financial services. The second part covers issues relating to the Balanced Scorecard, ABC methods, TD-ABC and the importance of information on the results and economic efficiency of the listed companies.",,,,,Finance; Financial analysis; Financial services; Business; Systemic risk; Financial market; Balanced scorecard; Accounting management; Management accounting; Financial ratio,,,,,https://econpapers.repec.org/RePEc:sgm:wnwzuw:04,https://econpapers.repec.org/RePEc:sgm:wnwzuw:04,,,2280832998,,0,,0,False,,,lens
163-258-922-333-266,Persistence of Bank Credit Default Swap Spreads,2019-08-26,2019.0,journal article,Risks,22279091,MDPI AG,,Xin Huang,"Credit default swap (CDS) spreads measure the default risk of the reference entity and have been frequently used in recent empirical papers. To provide a rigorous econometrics foundation for empirical CDS analysis, this paper applies the augmented Dickey–Fuller, Phillips–Perron, Kwiatkowski–Phillips–Schmidt–Shin, and Ng–Perron tests to study the unit root property of CDS spreads, and it uses the Phillips–Ouliaris–Hansen tests to determine whether they are cointegrated. The empirical sample consists of daily CDS spreads of the six large U.S. banks from 2001 to 2018. The main findings are that it is log, not raw, CDS spreads that are unit root processes, and that log CDS spreads are cointegrated. These findings imply that, even though the risks of individual banks may deviate from each other in the short run, there is a long-run relation that ties them together. As these CDS spreads are an important input for financial systemic risk, there are at least two policy implications. First, in monitoring systemic risk, policymakers should focus on long-run trends rather than short-run fluctuations of CDS spreads. Second, in controlling systemic risk, policy measures that reduce the long-run risks of individual banks, such as stress testing and capital buffers, are helpful in mitigating overall systemic risk.",7,3,90,,Systemic risk; Cointegration; Econometrics; Economics; Unit root; Short run; Default risk; Bank credit; Credit default swap; Sample (statistics),,,,,https://www.mdpi.com/2227-9091/7/3/90 https://ideas.repec.org/a/gam/jrisks/v7y2019i3p90-d260881.html https://doaj.org/article/3ccd25c2d7c3401ab81ad532618c377e https://www.mdpi.com/2227-9091/7/3/90/pdf,http://dx.doi.org/10.3390/risks7030090,,10.3390/risks7030090,2969412785,,0,007-107-230-254-597; 007-583-920-783-098; 008-903-086-764-907; 017-326-143-243-825; 017-486-496-247-162; 019-036-413-941-920; 027-434-050-672-955; 029-781-914-688-700; 043-030-888-629-28X; 048-580-836-133-280; 052-619-799-818-546; 054-466-892-952-211; 064-983-128-387-606; 078-670-984-804-40X; 097-729-028-047-464; 110-291-282-386-563; 117-903-132-807-368; 125-676-391-281-527; 160-209-962-869-700; 164-307-698-336-407,3,True,cc-by,gold,lens
078-038-554-430-146,Yield to Commission: Is an OTC Market Model to Blame for Growing Systemic Risk?,2008-07-31,2008.0,journal article,The Journal of Structured Finance,15519783; 23741325,Pageant Media US,,Christopher Whalen,"The principle of maximizing the “yield to commission” is a normal human trait and one that applies to sales in just about any industry. In the over-the-counter (OTC) world of complex assets containing subprime debt, however, everybody besides the dealers seems to be the losers. OTC instruments offer dealers far better profits than exchange-traded contracts, but at a cost in terms of inferior price discovery, a lack of liquidity support from other dealers, and little or no secondary market support for buy side investors. The use of illiquid and opaque OTC instruments not only was an important factor in the failures of Long Term Capital Management, Amaranth Advisers, and Bear Stearns, but also threatened the stability of other firms and in general caused substantial market volatility, both for OTC markets and the traditional exchanges. The author observes that there is a substantial “silent majority” of investors, advisers, and risk professionals who would be very pleased to see much of the OTC market flows in derivatives and structured assets move back into the daylight of open price discovery and liquidity that an exchange-based model provides.",14,2,8,15,Finance; Debt; Systemic risk; Economics; Market liquidity; Commission; Buy side; Price discovery; Monetary economics; Secondary market; Volatility (finance),,,,,http://www.rcwhalen.com/pdf/JSF_Yield_08.pdf http://jsf.pm-research.com/content/14/2/8 https://jsf.pm-research.com/content/14/2/8,http://dx.doi.org/10.3905/jsf.2008.709950,,10.3905/jsf.2008.709950,2118396491,,0,,2,False,,,lens
144-493-463-392-945,"Diversification, Diversity and Systemic Risk in European Banking",,2013.0,book chapter,"Crisis, Risk and Stability in Financial Markets",,Palgrave Macmillan UK,,Pierluigi Morelli; Giovanni B. Pittaluga; Elena Seghezza,"The recent financial crisis has revealed the unexpected fragility of financial systems in the industrialized countries. The process of national deregulation that started in the 1980s led to an intense process of consolidation of financial institutions. Consequently, both in the United States and in Europe, the degree of concentration in banking systems increased significantly.",,,49,70,Business; Systemic risk; Developed country; Diversification (finance); Consolidation (business); Financial crisis; European central bank; Financial system; Deregulation; Fragility,,,,,https://rd.springer.com/chapter/10.1057/9781137001832_4 https://iris.unige.it/handle/11567/385698 https://link.springer.com/chapter/10.1057/9781137001832_4 https://ideas.repec.org/h/pal/pmschp/978-1-137-00183-2_4.html,http://dx.doi.org/10.1057/9781137001832_4,,10.1057/9781137001832_4,2402321438,,0,001-258-517-102-574; 002-856-834-652-090; 006-381-442-206-445; 011-673-538-349-42X; 012-430-523-378-543; 019-563-272-251-348; 023-841-138-310-265; 025-708-744-781-200; 035-104-934-704-682; 045-455-610-100-61X; 047-289-836-852-429; 047-809-535-914-768; 054-353-821-170-799; 055-177-894-807-320; 056-452-430-967-190; 058-879-947-933-394; 064-328-625-057-586; 065-327-126-170-308; 066-276-407-080-447; 074-849-208-298-983; 074-866-622-159-094; 077-436-811-650-375; 078-650-064-446-904; 082-768-693-678-765; 086-771-766-095-679; 090-436-724-624-372; 091-384-088-522-133; 095-037-640-171-955; 105-149-361-869-557; 113-243-594-068-188; 136-247-986-607-382; 142-084-600-389-807; 142-162-105-961-192; 143-857-326-837-037; 149-523-784-599-759; 159-558-512-459-149; 167-568-594-894-564; 182-401-964-998-619; 197-158-784-937-381,0,False,,,lens
162-148-755-682-173,Atherosclerosis Clinical Evaluation and Therapy - Cerebral ischaemia: systemic risk factors and their prevention,,1982.0,book chapter,Atherosclerosis Clinical Evaluation and Therapy,,Springer Netherlands,,M. Prencipe,,,,165,169,Internal medicine; Systemic risk; Cardiology; Cerebral ischaemia; Medicine,,,,,http://link.springer.com/content/pdf/10.1007/978-94-009-7331-2_19.pdf,http://dx.doi.org/10.1007/978-94-009-7331-2_19,,10.1007/978-94-009-7331-2_19,2500590063,,0,001-034-311-127-319; 003-222-996-187-63X; 005-016-235-249-766; 014-911-928-797-981; 024-240-622-649-116; 036-080-431-785-727; 042-460-334-999-565; 046-417-021-506-514; 048-355-242-783-488; 050-155-768-502-615; 056-523-978-471-399; 057-940-264-423-997; 065-318-032-566-243; 104-531-360-490-335; 106-464-141-280-19X; 107-260-996-394-282; 128-128-660-954-577; 132-683-475-397-454,0,False,,,lens
