authors,title,abstract,year,pub_date,n_cited,source,kws,auth_affils,link,links,bib_src,scopus_id
"Hurd, T.R.; Gleeson, J.P.; Melnik, S.",A framework for analyzing contagion in assortative banking networks,"We introduce a probabilistic framework that represents stylized banking networks with the aim of predicting the size of contagion events. Most previous work on random financial networks assumes independent connections between banks, whereas our framework explicitly allows for (dis)assortative edge probabilities (i.e., a tendency for small banks to link to large banks). We analyze default cascades triggered by shocking the network and find that the cascade can be understood as an explicit iterated mapping on a set of edge probabilities that converges to a fixed point. We derive a cascade condition, analogous to the basic reproduction number R0 in epidemic modelling, that characterizes whether or not a single initially defaulted bank can trigger a cascade that extends to a finite fraction of the infinite network. This cascade condition is an easily computed measure of the systemic risk inherent in a given banking network topology. We use percolation theory for random networks to derive a formula for the frequency of global cascades. These analytical are shown to provide limited quantitative agreement with Monte Carlo simulation studies of finite-sized networks. We show that edge-assortativity, the propensity of nodes to connect to similar nodes, can have a strong effect on the level of systemic risk as measured by the cascade condition. However, the effect of assortativity on systemic risk is subtle, and we propose a simple graph theoretic quantity, which we call the graph-assortativity coefficient, that can be used to assess systemic risk. 2017 Hurd et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2017,2017-01-01,9,Plos One,"algorithm; algorithms; analytical parameters; article; bank account; banking, personal; computer simulation; conceptual framework; economic model; financial management; human; humans; mathematical analysis; mathematical computing; models, economic; monte carlo method; prediction; probability; procedures; risk; risk assessment; statistical model; theory","Hurd, T.R. (Department of Mathematics, McMaster University, Hamilton, ON, Canada); Gleeson, J.P. (MACSI, Department of Mathematics and Statistics, University of Limerick, Limerick, Ireland); Melnik, S. (MACSI, Department of Mathematics and Statistics, University of Limerick, Limerick, Ireland)",https://dx.doi.org/10.1371/journal.pone.0170579,https://dx.doi.org/10.1371/journal.pone.0170579,scopus,2-s2.0-85013663428
"Tansuchat, R.; Yamaka, W.; Khemawani, K.; Sriboonchitta, S.",Analyzing the contribution of ASEAN stock markets to systemic risk,"In this paper, seven stock markets from six countries (Thailand, Malaysia, Indonesia, Vietnam, the Philippines, and Singapore) and their risk contribution to ASEAN stock system are investigated using the Component Expected Shortfall approach. Prior to computing this systemic risk measure, we need to compute a dynamic correlation, thus the study proposes a Markov Switching copula with time varying parameter to measure the dynamic correlation between each pair of stock market index and ASEAN stock system. The empirical show that Philippines stock index contributed the highest risk to the ASEAN stock system. Springer International Publishing AG 2017.",2017,2017-01-01,3,Studies in Computational Intelligence,asean stock markets; ces; markov switching model copula; time varying dependence,"Tansuchat, R. (Faculty of Economics, Chiang Mai University, Chiang Mai, Thailand); Yamaka, W. (Faculty of Economics, Chiang Mai University, Chiang Mai, Thailand); Khemawani, K. (Faculty of Economics, Chiang Mai University, Chiang Mai, Thailand); Sriboonchitta, S. (Faculty of Economics, Chiang Mai University, Chiang Mai, Thailand)",https://dx.doi.org/10.1007/978-3-319-50742-2_40,https://dx.doi.org/10.1007/978-3-319-50742-2_40,scopus,2-s2.0-85012868270
"Hryckiewicz, A.; Scribner, A.Ł.",Banking business models and the nature of financial crisis,"In our paper, we analyze heterogeneity among the various business models that incorporate systemically important banks in 65 countries over the period of 2000 2012. For the first time, we identify true banking strategies in a portfolio context, that is, consisting of various combinations of bank assets and funding sources. Next, we estimate the way distinct strategies have affected bank profitability and risk before the crisis, as well as their impact on the mortgage crisis. We demonstrate that during the mortgage crisis, the investment model indicated the lowest individual risk and highest systemic risk simultaneously. Consequently, we document that the funding structure was responsible for the systemic effect of the mortgage crisis. Further, we demonstrate that countries with systemically important banks that rely on investment activities experience a greater, but more short-lived decline in GDP, when compared to countries that have predominantly traditional banking activities. 2016 Elsevier Ltd",2017,2017-01-01,22,Journal of International Money and Finance,bank regulation; bank risk; banking stability; business model; financial crisis; systemic risk,"Hryckiewicz, A. (Accounting Department, Kozminski University, Jagiellonska Street 57/59, Warsaw, 03-301, Poland); Scribner Associates, Ł. (Department of Banking and Insurance, Kozminski University, Jagiellonska Street 57/59, Warsaw, 03-301, Poland)",https://dx.doi.org/10.1016/j.jimonfin.2016.10.008,https://dx.doi.org/10.1016/j.jimonfin.2016.10.008,scopus,2-s2.0-84996618833
"Poledna, S.; Bochmann, O.; Thurner, S.","Basel III capital surcharges for g-sibs are far less effective in managing systemic risk in comparison to network-based, systemic risk-dependent financial transaction taxes","In addition to constraining bilateral exposures of financial institutions, there exist essentially two options for future financial regulation of systemic risk: First, regulation could attempt to reduce the financial fragility of global or domestic systemically important financial institutions (G-SIBs or D-SIBs), as for instance proposed by Basel III. Second, it could focus on strengthening the financial system as a whole by reducing the probability of large-scale cascading events. This can be achieved by re-shaping the topology of financial networks. We use an agent-based model of a financial system and the real economy to study and compare the consequences of these two options. By conducting three computer experiments with the agent-based model we find that re-shaping financial networks is more effective and efficient than reducing financial fragility. Capital surcharges for G-SIBs could reduce systemic risk, but they would have to be substantially larger than those specified in the current Basel III proposal in order to have a measurable impact. This would cause a loss of efficiency. 2017 Elsevier B.V.",2017,2017-01-01,18,Journal of Economic Dynamics and Control,agent-based modeling; banking regulation; basel iii; debtrank; resilience; systemic risk,"Poledna, S. (IIASA, Schlossplatz 1, A-2361 Laxenburg, Austria, Section for Science of Complex Systems, Medical University of Vienna, Spitalgasse 23, 1090, Austria); Bochmann, O. (Institute of New Economic Thinking at the Oxford Martin School, Eagle House, Walton Well Rd., Oxford, OX2 3ED, United Kingdom, Mathematical Institute, University of Oxford, Woodstock Rd., Oxford, OX2 6GG, United Kingdom); Thurner, S. (IIASA, Schlossplatz 1, A-2361 Laxenburg, Austria, Section for Science of Complex Systems, Medical University of Vienna, Spitalgasse 23, 1090, Austria, Santa Fe Institute, 1399 Hyde Park Road, Santa Fe, NM  87501, United States, Complexity Science Hub Vienna, Josefstädter Straße 39, 1080 Vienna, Austria)",https://dx.doi.org/10.1016/j.jedc.2017.02.004,https://dx.doi.org/10.1016/j.jedc.2017.02.004,scopus,2-s2.0-85015930692
"Garcia-de-Andoain, C.; Kremer, M.",Beyond spreads: measuring sovereign market stress in the euro area,"We develop a novel composite indicator to measure sovereign bond market stress in the euro area. The indicator integrates yield and liquidity spreads along with volatility into an overall measure of sovereign market stress. An application to the spillover literature suggests that stress mainly originates from a few countries, but that spillover patterns also vary over time. 2017 Elsevier B.V.",2017,2017-01-01,15,Economics Letters,financial stress index; sovereign debt crisis; spillover index; systemic risk,"Garcia-de-Andoain, C. (European Central Bank, Sonnemannstrasse 20, Frankfurt am Main, 60314, Germany); Kremer, M. (European Central Bank, Sonnemannstrasse 20, Frankfurt am Main, 60314, Germany)",https://dx.doi.org/10.1016/j.econlet.2017.06.042,https://dx.doi.org/10.1016/j.econlet.2017.06.042,scopus,2-s2.0-85027222360
"Fernholz, R.T.; Koch, C.","Big banks, idiosyncratic volatility, and systemic risk",No abstract available,2017,2017-01-01,6,American Economic Review,,"Fernholz, R.T. (Robert Day School of Economics and Finance, Claremont McKenna College, 500 E. Ninth Street, Claremont, CA  91711, United States); Koch, C. (Research Department, Federal Reserve Bank of Dallas, 2200 North Pearl Street, Dallas, TX  75201, United States)",https://dx.doi.org/10.1257/aer.p20171007,https://dx.doi.org/10.1257/aer.p20171007,scopus,2-s2.0-85019584862
"Krichene, H.; Chakraborty, A.; Inoue, H.; Fujiwara, Y.",Business cycles' correlation and systemic risk of the japanese supplier-customer network,"This work aims to study and explain the business cycle correlations of the Japanese production network. We consider the supplier-customer network, which is a directed network representing the trading links between Japanese firms (links from suppliers to customers). The community structure of this network is determined by applying the Infomap algorithm. Each community is defined by its GDP and its associated business cycle. Business cycle correlations between communities are estimated based on copula theory. Then, based on firms' attributes and network topology, these correlations are explained through linear econometric models. The show strong evidence of business cycle correlations in the Japanese production network. A significant systemic risk is found for high negative or positive shocks. These correlations are explained mainly by the sector and by geographic similarities. Moreover, our highlight the higher vulnerability of small communities and small firms, which is explained by the disassortative mixing of the production network. 2017 Krichene et al. This is an open ccess article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and eproduction in any medium, provided the original author and source are credited.",2017,2017-01-01,8,Plos One,algorithm; algorithms; article; commerce; commercial phenomena; geography; gross national product; japan; risk; statistical model,"Krichene, H. (Graduate School of Simulation Studies, University of Hyogo, Japan); Chakraborty, A. (Graduate School of Simulation Studies, University of Hyogo, Japan); Inoue, H. (Graduate School of Simulation Studies, University of Hyogo, Japan); Fujiwara, Y. (Graduate School of Simulation Studies, University of Hyogo, Japan)",https://dx.doi.org/10.1371/journal.pone.0186467,https://dx.doi.org/10.1371/journal.pone.0186467,scopus,2-s2.0-85032188721
"McKillop, N.; Brown, S.; Johnson, I.; Smallbone, S.; Ogilvie, J.M.",Can systemic interventions designed to reduce reoffending by youth also reduce their victimization,"Previous research indicates considerable overlap between populations of boys who are victimized and boys who victimize others. This study was concerned with whether a systems-focused treatment program designed to address individual and systemic risk factors associated with the perpetration of sexual and violent crimes might also be successful in reducing boys’ victimization by others. Boys adjudicated for sexual offences who received treatment as usual’ (TAU 335) were compared with similarly adjudicated boys who completed the treatment program (n 200) on their histories of contact with police either as offenders or victims. Despite their higher rates of pre-intervention victimization, the treatment group were victimized less frequently post-intervention than the TAU group. Continued offending was the strongest predictor of victimization post-intervention. These findings suggest that offending and victimization share common risk factors that may be addressed simultaneously within offence-focused treatment. 2016, Springer International Publishing.",2017,2017-01-01,3,Journal of Child and Adolescent Trauma,child; human; juvenile; major clinical study; male; male youth offenders; police; risk factor; sexual crime; sexual offending; systemic interventions; victim; victimization; vulnerable population; vulnerable populations,"McKillop, N. (Faculty of Arts and Business, University of the Sunshine Coast, Sippy Downs, Australia, Griffith Criminology Institute, Griffith University, Mt Gravatt, Australia); Brown, S. (Centre from Research in Psychology, Behaviour and Achievement, Coventry University, Priory Street, Coventry, United Kingdom); Johnson, I. (Faculty of Psychology and Neuroscience, Maastricht University, Maastricht, Netherlands); Smallbone, S. (Griffith Criminology Institute, Griffith University, Mt Gravatt, Australia); Ogilvie, J.M. (Griffith Criminology Institute, Griffith University, Mt Gravatt, Australia)",https://dx.doi.org/10.1007/s40653-016-0123-y,https://dx.doi.org/10.1007/s40653-016-0123-y,scopus,2-s2.0-85016096438
"Cerchiello, P.; Giudici, P.",Categorical network models for systemic risk measurement,"A very important area of financial risk management is systemic risk modelling, which concerns the estimation of the interrelationships between financial institutions, with the aim of establishing which of them are more central and, therefore, more contagious subject to contagion. The aim of this paper is to develop a systemic risk model which, differently from existing ones, employs not only the information contained in financial market prices, but also big data coming from financial tweets. From a methodological viewpoint, we propose a new framework, based on categorical graphical models, that can estimate systemic risks with models based on two different sources: financial markets and financial tweets, and suggest a way to combine them, using a Bayesian approach. From an applied viewpoint, we present the first systemic risk model based on big data, and show that such a model can shed further light on the interrelationships between financial institutions. This can help predicting the level of returns of a bank, conditionally on the others, for example when a shock occurs in another bank. 2016, Springer Science Business Media Dordrecht.",2017,2017-01-01,0,Quality and Quantity,continuous and discrete graphical models; financial risk management; twitter data analysis,"Cerchiello, P. (DEMS, University of Pavia, Pavia, Italy); Giudici, P. (DEMS, University of Pavia, Pavia, Italy)",https://dx.doi.org/10.1007/s11135-016-0354-x,https://dx.doi.org/10.1007/s11135-016-0354-x,scopus,2-s2.0-84969135634
"Bernardi, M.; Durante, F.; Jaworski, P.",CoVaR of families of copulas,"We revisit the notion of Conditional Value-at-Risk (shortly, CoVaR) by weakening the usual assumptions on the joint distribution function of the involved random variables. The new approach exploits the copula methodology and uses the concept of Dini derivatives. A directory of CoVaR values for different families of copulas is provided. 2016 Elsevier B.V.",2017,2017-01-01,24,Statistics and Probability Letters,copula; covar; risk measure; singular measure; systemic risk; value-at-risk,"Bernardi, M. (Department of Statistical Sciences, University of Padua, Italy); Durante, F. (Faculty of Economics and Management, Free University of Bozen-Bolzano, Bolzano, Italy); Jaworski, P. (Institute of Mathematics, University of Warsaw, Warszawa, Poland)",https://dx.doi.org/10.1016/j.spl.2016.09.005,https://dx.doi.org/10.1016/j.spl.2016.09.005,scopus,2-s2.0-84989328268
