Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,bib_src
[No author name available],[No author id available],"18th International Workshop on Multi-Agent Based Simulation, MABS 2017",2018,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10798 LNAI,,,,,227.0,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047311767&partnerID=40&md5=7728abc144c9f8eb459c05a1caa68911,,,The proceedings contain 15 papers. The special focus in this conference is on Multi-Agent Based Simulation. The topics include: KILT: A modelling approach based on participatory agent-based simulation of stylized socio-ecosystems to stimulate social learning with local stakeholders; multi-agency problem in financial markets; benchmark for coalitions at multiagent systems in a robotic soccer simulation environment; the agent rationality in the doom loop of sovereign debt: An agent-based model simulation of systemic risk emergence process; InterSCSimulator: Large-scale traffic simulation in smart cities using erlang; A variable dimensional fuzzy logic-based reputation model for MAS; stable configurations with (meta)punishing agents; developing multi-agent-based thought experiments: A case study on the evolution of gamete dimorphism; norm identification in Jason using a bayesian approach; uncertainty assessment in agent-based simulation: An exploratory study; enhancing the behavior of agents in social simulations with emotions and social relations; an initial study of agent interconnectedness and in-group behaviour; a stylized model of individual-society interaction based on Luhmann’s theory.,,,,Dimuro G.P.Antunes L.,Springer Verlag,03029743,9783319915869,,,English,Lect. Notes Comput. Sci.,Conference Review,Final,,Scopus,2-s2.0-85047311767,scopus
"Wang L., Hao Y., Jing Z., Zhang J.",57226613623;58040929100;56506381700;58040636900;,Spillover effects of asian banking sector on systemic risk in the insurance sector: Based on a double-CoVaR model,2022,Singapore Economic Review,,,,,,,,10.1142/S0217590822500795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145490629&doi=10.1142%2fS0217590822500795&partnerID=40&md5=13f3926f1816fa195f6b1b8284a8cb47,"School of Insurance, Central University of Finance and Economics, Beijing, 102206, China; School of Finance, Central University of Finance and Economics, Beijing, 102206, China","Wang, L., School of Insurance, Central University of Finance and Economics, Beijing, 102206, China; Hao, Y., School of Insurance, Central University of Finance and Economics, Beijing, 102206, China; Jing, Z., School of Finance, Central University of Finance and Economics, Beijing, 102206, China; Zhang, J., School of Insurance, Central University of Finance and Economics, Beijing, 102206, China","This study explored the spillover effect of the banking sector on the systemic risk of the insurance sector. We selected 27 listed insurers from China, South Korea, Japan and Singapore, and built a double-CoVaR model based on monthly data for 2012-2021. We explored the impact mechanism by decomposing the spillover effect and conducted regression analysis to determine factors influencing net spillover. First, the banking sector has positive spillover on insurance systemic risk. Second, the banking sector affects insurance systemic risk mainly through direct risk spillover. Third, the size, asset similarity and leverage of insurers significantly impact net spillover. This paper contributes to the previous literature and regulation by providing a methodology for predicting risk spillovers using a new model and an up-to-date data. © 2022 World Scientific Publishing Company.",banking sector; double-CoVaR; insurance sector; Systemic risk,,"Hao, Y.; School of Insurance, China; email: hao_yilin@163.com",,World Scientific,02175908,,,,English,Singap. Econ. Rev.,Article,Article in Press,,Scopus,2-s2.0-85145490629,scopus
"Bougheas S., Kirman A.",6602692970;55902808000;,Looking ahead: Part II,2018,Springer Proceedings in Complexity,,,,153,156,,,10.1007/978-3-319-65627-4_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059195087&doi=10.1007%2f978-3-319-65627-4_8&partnerID=40&md5=409bc15fe53af908534c816c5c5165d3,"School of Economics, University of Nottingham, Nottingham, NG7 2RD, United Kingdom; École des Hautes Études en Sciences Sociales, CAMS - EHESS, Paris, France","Bougheas, S., School of Economics, University of Nottingham, Nottingham, NG7 2RD, United Kingdom; Kirman, A., École des Hautes Études en Sciences Sociales, CAMS - EHESS, Paris, France",We propose a number of possibilities for future research on issues related to systemic risk in financial markets and its relationship to the macroeconomy. Some of the proposals aim to improve our understanding of the behavior of aggregate credit. Other proposals involve the development or richer agent-based models that potentially can help us understand the time-series properties of national output. © The Author(s) 2018.,"Aggregate credit; Banks, business cycles; Fat tails; Systemic risk",,"Bougheas, S.; School of Economics, United Kingdom; email: spiros.bougheas@nottingham.ac.uk",,Springer,22138684,,,,English,Springer Proc. Complex.,Book Chapter,Final,,Scopus,2-s2.0-85059195087,scopus
"Ahn D., Kim K.-K.",57191752572;35114963200;,Efficient simulation for expectations over the union of half-spaces,2018,ACM Transactions on Modeling and Computer Simulation,28,3,A23,,,,4.0,10.1145/3167969,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053428319&doi=10.1145%2f3167969&partnerID=40&md5=a7fe96482a7ce826ae5a26df90363094,"Department of Industrial and Systems Engineering, KoreaAdvanced Institute of Science and Technology, 291 Daehak-ro, Yuseong-gu, Daejeon, 34141, South Korea","Ahn, D., Department of Industrial and Systems Engineering, KoreaAdvanced Institute of Science and Technology, 291 Daehak-ro, Yuseong-gu, Daejeon, 34141, South Korea; Kim, K.-K., Department of Industrial and Systems Engineering, KoreaAdvanced Institute of Science and Technology, 291 Daehak-ro, Yuseong-gu, Daejeon, 34141, South Korea","We consider the problem of estimating expectations over the union of half-spaces. Such a problem arises in many applications such as option pricing and stochastic activity networks. More recent applications include systemic risk measurements of financial networks. Assuming that random variables follow a multivariate elliptical distribution, we develop a conditional Monte Carlo method and prove its asymptotic efficiencies. We then demonstrate the numerical performance of the proposed method in three different application areas. © 2018 ACM.",Conditional Monte Carlo; Elliptical distribution; Rare event simulation; Variance reduction,Economics; Geometry; Numerical methods; Stochastic systems; Asymptotic efficiency; Efficient simulation; Elliptical distributions; Multivariate elliptical distributions; Numerical performance; Rare event simulation; Stochastic activity networks; Variance reductions; Monte Carlo methods,"Kim, K.-K.; Department of Industrial and Systems Engineering, 291 Daehak-ro, Yuseong-gu, South Korea; email: kkim3128@kaist.ac.kr",,Association for Computing Machinery,10493301,,ATMCE,,English,ACM Trans Model Comput Simul,Article,Final,,Scopus,2-s2.0-85053428319,scopus
"Scalco P.R., Tabak B.M., Teixeira A.M.",55325808600;6602910863;37003135000;,Prudential measures and their adverse effects on bank competition: The case of Brazil,2021,Economic Modelling,100,,105495,,,,4.0,10.1016/j.econmod.2021.03.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104154769&doi=10.1016%2fj.econmod.2021.03.014&partnerID=40&md5=0d5df27df9f8328e7e3b6211d6f7197c,"Faculty of Management, Accounting and Economics, Universidade Federal de Goiás - FACE/UFG, Goiânia, GO, Brazil; School of Public Policy and Government at Fundação Getúlio Vargas, Brasília, DF, Brazil","Scalco, P.R., Faculty of Management, Accounting and Economics, Universidade Federal de Goiás - FACE/UFG, Goiânia, GO, Brazil; Tabak, B.M., School of Public Policy and Government at Fundação Getúlio Vargas, Brasília, DF, Brazil; Teixeira, A.M., Faculty of Management, Accounting and Economics, Universidade Federal de Goiás - FACE/UFG, Goiânia, GO, Brazil","After the 2008–2009 financial crisis, there was an increase in prudential measures to limit banking and systemic risk in several countries. The empirical studies related to this topic have focused, in general, on assessing the effectiveness of such instruments. This article addresses the associated costs (adverse effects) of these prudential measures on banking competition. We use a novel approach that employs a stochastic frontier model to measure Brazilian banks' mark-up and estimate the impact of prudential measures on market power. Our results suggest that the tightening of prudential measures increases banks’ mark-up and, consequently, has a negative impact on banking competition. Our finding suggests that financial regulators should consider this adverse effect when designing regulations to promote financial stability without harming competition in the banking system. © 2021 Elsevier B.V.",Bank regulation; Lerner index; Market power; Prudential measures; Stochastic frontier,,"Scalco, P.R.; Faculty of Management, Brazil; email: scalco@ufg.br",,Elsevier B.V.,02649993,,,,English,Econ. Model.,Article,Final,,Scopus,2-s2.0-85104154769,scopus
"Xu Q., Yan H., Zhao T.",56434899800;57311798900;57312909500;,Contagion effect of systemic risk among industry sectors in China's stock market,2022,North American Journal of Economics and Finance,59,,101576,,,,3.0,10.1016/j.najef.2021.101576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117938092&doi=10.1016%2fj.najef.2021.101576&partnerID=40&md5=6aefc7894b070a627170269e9821bdca,"School of Finance, Southwestern University of Finance and Economics, Chengdu, Sichuan  611130, China","Xu, Q., School of Finance, Southwestern University of Finance and Economics, Chengdu, Sichuan  611130, China; Yan, H., School of Finance, Southwestern University of Finance and Economics, Chengdu, Sichuan  611130, China; Zhao, T., School of Finance, Southwestern University of Finance and Economics, Chengdu, Sichuan  611130, China","This paper constructs a tail event driven network to investigate the interdependence of tail risks among industries in the Chinese stock market from 2014 to 2019, and identifies systemically important industries that have made significant contributions to risk contagion by systemic risk decomposition technique. The empirical results suggest strong linkages among industry sectors. The risk profiles of certain industries under close supply–demand relationships are positively correlated, whereas the financial industry, particularly banking, proves to be the principal risk diversifier in the network, with the household appliance, food and drink industries performing likewise an important role in risk diversification. Based on the TENQR model, further study on additional information provided by the industrial chain structure demonstrates that the upstream industry dominates the spread of risks under extreme market conditions. Our findings are of constructive significance to the anticipative introduction of corresponding policies by regulatory authorities, and are also instructive to the investors’ allocation of assets. © 2021 Elsevier Inc.",CoES; Industrial chain; Industry sectors; Network analysis; Risk contagion; Systemic risk,,"Zhao, T.; School of Finance, China; email: skyrainzhao@smail.swufe.edu.cn",,Elsevier Inc.,10629408,,,,English,North Am. J. Econ. Financ.,Article,Final,,Scopus,2-s2.0-85117938092,scopus
"Vidal M., Vidal-García J., Boubaker S., Bekiros S.",55876020000;55444432600;53876961800;8560165000;,Short-term volatility timing: a cross-country study,2022,Annals of Operations Research,,,,,,,,10.1007/s10479-022-04998-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139655220&doi=10.1007%2fs10479-022-04998-5&partnerID=40&md5=532d6151dc421681609250e6a73fa0a6,"European University of Madrid, Madrid, Spain; Complutense University of Madrid, Madrid, Spain; EM Normandie Business School, Métis Lab, France; International School, Vietnam National University, Hanoi, France; Swansea University, Swansea, United Kingdom; IPAG Business School, Paris, France; University of Malta, Msida, Malta","Vidal, M., European University of Madrid, Madrid, Spain; Vidal-García, J., Complutense University of Madrid, Madrid, Spain; Boubaker, S., EM Normandie Business School, Métis Lab, France, International School, Vietnam National University, Hanoi, France, Swansea University, Swansea, United Kingdom; Bekiros, S., IPAG Business School, Paris, France, University of Malta, Msida, Malta","In this paper, we examine how mutual fund managers behave to fluctuations in market volatility. We use a sample of daily return from countries around the world to evaluate how manager perform to publicly available information. There is a lack of empirical studies that examine the relation between conditional market returns and conditional volatility on a global scale; we provide evidence across countries to answer this question. Our study provides new evidence about conditional mutual fund performance across countries. We find that during periods of high market volatility mutual funds reduce market exposure across all countries; this implies that systemic risk is particularly sensitive to changes in market volatility around the world. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Mutual funds; Portfolio management; Short-term performance; Volatility timing,,"Vidal-García, J.; Complutense University of MadridSpain; email: javiervidal7@hotmail.com",,Springer,02545330,,,,English,Ann. Oper. Res.,Article,Article in Press,,Scopus,2-s2.0-85139655220,scopus
Coetzee J.,57213394294;,Risk aversion and the adoption of Fintech by South African banks,2019,African Journal of Business and Economic Research,14,4,,133,153,,4.0,10.31920/1750-4562/2019/14n4a6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079241649&doi=10.31920%2f1750-4562%2f2019%2f14n4a6&partnerID=40&md5=cf0171521a5bd71ecf176490d64194c2,"Department of Economics and Finance, University of the Free State, South Africa","Coetzee, J., Department of Economics and Finance, University of the Free State, South Africa","With Fintech threatening to change the traditional role of banks, it is seen as both a threat and opportunity. Technology offers South African banks the opportunity to address inherent socio-economic imbalances in the economy. However, the potential systemic risk it poses threatens to aggravate the situation if it not properly regulated. This paper uses a non-positivist, qualitative research design - the case study approach - to argue that South African banks have adopted a measured mindset to adopting Fintech because they are fundamentally risk-averse. Structural socio-economic imbalances, legacy systems, and a banking industry that has traditionally been conservative are argued to be the main drivers of this. The findings posited by this paper are intended to sensitise policymakers to the thinking of South African banks when formulating policies that address developments in Fintech in the future. © 2019 Adonis and Abbey Publishers Ltd. All rights reserved.",Adoption; Banks; Fintech; Regulation; South Africa,,"Coetzee, J.; Department of Economics and Finance, South Africa; email: coetzj@ufs.ac.za",,Adonis and Abbey Publishers Ltd,17504554,,,,English,African J. Bus. Econ. Res.,Article,Final,,Scopus,2-s2.0-85079241649,scopus
"Suljić Nikolaj S., Olgić Draženović B., Buterin D.",57443387500;57403284500;57195516895;,Green Bonds - Sustainable Forms of Financing,2023,Lecture Notes in Networks and Systems,562 LNNS,,,416,429,,,10.1007/978-3-031-18645-5_26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142678204&doi=10.1007%2f978-3-031-18645-5_26&partnerID=40&md5=c0ab1e1687b1abd113fea4a9299e65c0,"Faculty of Economics and Business, University of Rijeka, Rijeka, Croatia; Polytechnic of Rijeka, Rijeka, Croatia","Suljić Nikolaj, S., Faculty of Economics and Business, University of Rijeka, Rijeka, Croatia; Olgić Draženović, B., Faculty of Economics and Business, University of Rijeka, Rijeka, Croatia; Buterin, D., Polytechnic of Rijeka, Rijeka, Croatia","Green bonds are fixed-income financial instruments that resemble conventional bonds but differ from them in the purpose of issuance. Since their purpose is to finance socially responsible and environmentally sustainable projects, they are linked to ESG criteria and have only been present in the financial market for a relatively short time. Despite the increasing presence of green bonds in recent years, many countries have not yet recognized the importance of this form of financing because they have not issued green bonds. In the context of the research objective, this paper defines the purpose of issuing green bonds under adverse climatic conditions that pose systemic risk to financial systems. The paper stands out the importance of the regulatory framework needed for the further development of the green bond market in the world. With an overview of green bond representation by region in the world and a special focus on Europe, this paper offers conclusions and recommendations for future development. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Capital market; ESG criteria; Systemic risk,,"Suljić Nikolaj, S.; Faculty of Economics and Business, Croatia; email: stella.suljic.nikolaj@efri.hr",Mihic M.Jednak S.Savic G.,Springer Science and Business Media Deutschland GmbH,23673370,9783031186448,,,English,Lect. Notes Networks Syst.,Conference Paper,Final,,Scopus,2-s2.0-85142678204,scopus
"Dzhagityan E., Orekhov M.",57206865090;57931554700;,Global Systemically Important Banks: Do They Still Pose Risks for Financial Stability? [Глобальные системно значимые банки: все еще угроза для финансовой стабильности?],2022,International Organisations Research Journal,17,3,,,,,,10.17323/1996-7845-2022-03-03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140021205&doi=10.17323%2f1996-7845-2022-03-03&partnerID=40&md5=746838b5885ad82784d3dcee3fb11ff8,"School of World Economy, Faculty of World Economy and International Affairs, HSE University, 17,Bldg. 1,M. Ordynka str., Moscow, 119017, Russian Federation; School of World Economy, Faculty of World Economy and International Affairs, HSE University, Russian Federation","Dzhagityan, E., School of World Economy, Faculty of World Economy and International Affairs, HSE University, 17,Bldg. 1,M. Ordynka str., Moscow, 119017, Russian Federation; Orekhov, M., School of World Economy, Faculty of World Economy and International Affairs, HSE University, Russian Federation","The global financial crisis of 2007–09, followed by sweeping overhaul of international banking regulation, urged financial regulators to apply a tailored supervisory regime to global systemically important banks (G-SIBs). This approach was caused by exacerbation of the G-SIBs’ systemic risks and their transmission during macro level instability. The size of G-SIBs, the extent of their market power, and the heterogeneity of their operating models resulted in their dual role in systemic stress: being a source of systemic risks for the macro level, G-SIBs are at the same time transmitters of crisis developments to the micro level, hence increasing their own exposure to risks. Under these circumstances, the objectives of global gross domestic product (GDP) growth required a revision of regulatory priorities by shifting them from G-SIBs’ profitability to G-SIBs’ stress resilience through the application to them of more stringent capital adequacy standards and liquidity requirements, which ultimately contributed to G-SIBs’ insusceptibility to external shocks. At the same time, the G-SIBs’ role in exacerbation of systemic stress remains uncertain due to the unresolved issues of the G-SIBs’ systemic importance. Given the high level of their interconnectedness in the international financial area, dysfunction of G-SIBs can provoke a domino effect of insolvency and bankruptcies in the international banking sector. Based on 2011–21 statistics for all G-SIBs included in the annual lists of the Financial Stability Board (FSB), we found certain decline in G-SIBs’ systemic risks, which is attributable to further strengthening of their market discipline. This proves that international regulatory policy is on the right track. We also found that the stress resilience of G-SIBs, a product of the application of Basel III capital buffers and the total loss-absorbing capacity (TLAC) standard, significantly contributed to financial stability at a level sufficient not only for the integrity of G-SIBs’ performance during the COVID-19 pandemic, but also for minimization of the risk of collapse of the banking systems that prevented the transformation of the related shocks and instability into an economy-wide crisis. Nevertheless, the post-crisis regulatory reform failed to contain the systemic importance of G-SIBs, mostly due to the lack of supervisory tools and techniques in reduction of the negative effects of the G-SIBs’ international interconnectedness. © 2022, International Organisations Research Journal. All Rights Reserved.",Basel iii; Covid-19 pandemic; Financial stability; Global systemically important bank (g-sib); Stress resilience; Systemic importance; Systemic risks; Tlac,,"Dzhagityan, E.; School of World Economy, 17,Bldg. 1,M. Ordynka str., Russian Federation; email: edzhagityan@hse.ru",,"National Research University, Higher School of Econoimics",19967845,,,,English; Russian,Int. Organ. Res. J.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85140021205,scopus
