authors,title,abstract,year,pub_date,n_cited,source,kws,fos,anzsrc_2020,auth_affils,link,links,bib_src,scopus_id,lens_id,dims_id
"Dambra, S.; Bilge, L.; Balzarotti, D.",A comparison of systemic and systematic risks of malware encounters in consumer and enterprise environments,"Malware is still a widespread problem, and it is used by malicious actors to routinely compromise the security of computer systems. Consumers typically rely on a single AV product to detect and block possible malware infections, while corporations often install multiple security products, activate several layers of defenses, and establish security policies among employees. However, if a better security posture should lower the risk of malware infections, then the actual extent to which this happens is still under debate by risk analysis experts. Moreover, the difference in risks encountered by consumers and enterprises has never been empirically studied by using real-world data.In fact, the mere use of third-party software, network services, and the interconnected nature of our society necessarily exposes both classes of users to undiversifiable risks: Independently from how careful users are and how well they manage their cyber hygiene, a portion of that risk would simply exist because of the fact of using a computer, sharing the same networks, and running the same software.In this work, we shed light on both systemic (i.e., diversifiable and dependent on the security posture) and systematic (i.e., undiversifiable and independent of the cyber hygiene) risk classes. Leveraging the telemetry data of a popular security company, we compare, in the first part of our study, the effects that different security measures have on malware encounter risks in consumer and enterprise environments. In the second part, we conduct exploratory research on systematic risk, investigate the quality of nine different indicators we were able to extract from our telemetry, and provide, for the first time, quantitative indicators of their predictive power.Our show that even if consumers have a slightly lower encounter rate than enterprises (9.8% vs. 12.0%), the latter do considerably better when selecting machines with an increasingly higher uptime (89% vs. 53%). The two segments also diverge when we separately consider the presence of Adware and Potentially Unwanted Applications (PUA) and the generic samples detected through behavioral signatures: While consumers have an encounter rate for Adware and PUA that istimes higher than enterprise machines, those on average match behavioral signaturestimes more frequently than the counterpart. We find, instead, similar trends when analyzing the age of encountered signatures, and the prevalence of different classes of traditional malware (such as Ransomware and Cryptominers). Finally, our findings show that the amount of time a host is active, the volume of files generated on the machine, the number and reputation of vendors of the installed applications, the host geographical location, and its recurrent infected state carry useful information as indicators of systematic risk of malware encounters. Activity days and hours have a higher influence in the risk of consumers, increasing the odds of encountering malware of 4.51 and 2.65 times. In addition, we measure that the volume of files generated on the host represents a reliable indicator, especially when considering Adware. We further report that the likelihood of encountering Worms and Adware is much higher (on averagetimes in consumers and enterprises) for those machines that already reported this kind of signature in the past. 2023 Copyright held by the owner author(s). Publication rights licensed to ACM.",2023,2023-01-01,0,Acm Transactions on Privacy and Security,behavioral signatures; consumer malware; cybe-risk assessment; cyber-risk assessment; cybersecurity; enterprise environment; enterprise malware; malware; malwares; network security; risk analysis; risk assessment; risks assessments; systematic risk; systemic risk; systemic risks; telemetering equipment,,,"Dambra, S. (Eurecom, Biot, France, France); Bilge, L. (Norton Research Group, France, France); Balzarotti, D. (Eurecom, Biot, France, France)",https://dx.doi.org/10.1145/3565362,https://dx.doi.org/10.1145/3565362,biblio,2-s2.0-85154559064,,
"Fiori, A.M.; Porro, F.",A compositional analysis of systemic risk in european financial institutions,"Systemic risk is a complex and multifaceted phenomenon that needs to be addressed from different perspectives. In this work we propose a Compositional Data (CoDa) approach to analyze the distribution of relative contributions to systemic risk associated with major European countries during the period 2008 2021. We represent systemic risk measures corresponding to those countries as percentage shares, or parts, of a compositional dataset and we perform a multivariate statistical analysis using specific CoDa procedures. The proposed approach sheds new light on some variability patterns and cross-country relationships that appear to be linked to the composition of systemic risk parts in the system.",2023,2023-04-18,0,Annals of Finance,,,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment","Fiori, A.M. (Dipartimento di Statistica e Metodi Quantitativi, Università degli Studi di Milano-Bicocca, Via Bicocca degli Arcimboldi 8, 20126, Milan, Italy); Porro, F. (Dipartimento di Matematica, Università degli Studi di Genova, Via Dodecaneso 35, 16146, Genoa, Italy)",https://link.springer.com/content/pdf/10.1007/s10436-023-00427-0.pdf,https://link.springer.com/content/pdf/10.1007/s10436-023-00427-0.pdf,biblio,,,pub.1157335166
"Müller, F.M.; Santos, S.S.; Righi, M.B.",A description of the COVID-19 outbreak role in financial risk forecasting,"This study aims to describe the risk of the system composed on the market indexes of the countries that were more affected by COVID-19. Our sample encompasses the thirty-five countries with more cases and or deaths caused by COVID-19 until November 2020. As a second contribution, we describe the risk of each market index individually. As a general pattern, we note that losses and individual and systemic risks peaked in March 2020. We verify that countries that were epicenters of the COVID-19 pandemic experienced critical levels of risk, which is partially explained by more stringent confinement measures since these are the ones whose labor markets will suffer more in the medium and long run. We perceived a market recovery, arguably due to the low-interest rates and expansive actions taken by central banks. Nonetheless, we also observed that the systemic risk returned to pre-pandemic levels at the end of 2020. 2023 Elsevier Inc.",2023,2023-01-01,0,North American Journal of Economics and Finance,covid-19; single-index risk; systemic risk,,"35 commerce, management, tourism and services; 3502 banking, finance and investment; 38 economics; 3801 applied economics","Müller, F.M. (Federal University of Rio Grande do Sul, Washington Luiz, 855, Porto Alegre, zip 90010-460, Brazil); Santos, S.S. (Federal University of Rio Grande do Sul, Washington Luiz, 855, Porto Alegre, zip 90010-460, Brazil); Righi, M.B. (Federal University of Rio Grande do Sul, Washington Luiz, 855, Porto Alegre, zip 90010-460, Brazil)",https://dx.doi.org/10.1016/j.najef.2023.101894,https://dx.doi.org/10.1016/j.najef.2023.101894,biblio,2-s2.0-85149395347,,
"Dri, E.; Aita, A.; Giusto, E.; Ricossa, D.; Corbelletto, D.; Montrucchio, B.; Ugoccioni, R.",A more general quantum credit risk analysis framework,"Credit risk analysis (CRA) quantum algorithms aim at providing a quadratic speedup over classical analogous methods. Despite this, experts in the business domain have identified significant limitations in the existing approaches. Thus, we proposed a new variant of the CRA quantum algorithm to address these limitations. In particular, we improved the risk model for each asset in a portfolio by enabling it to consider multiple systemic risk factors, resulting in a more realistic and complex model for each asset’s default probability. Additionally, we increased the flexibility of the loss-given-default input by removing the constraint of using only integer values, enabling the use of real data from the financial sector to establish fair benchmarking protocols. Furthermore, all proposed enhancements were tested both through classical simulation of quantum hardware and, for this new version of our work, also using QPUs from IBM Quantum Experience in order to provide a baseline for future research. Our proposed variant of the CRA quantum algorithm addresses the significant limitations of the current approach and highlights an increased cost in terms of circuit depth and width. In addition, it provides a path to a substantially more realistic software solution. Indeed, as quantum technology progresses, the proposed improvements will enable meaningful scales and useful for the financial sector.",2023,2023-03-31,0,Entropy,,,49 Mathematical Sciences; 51 Physical Sciences,"Dri, E. (Dipartimento di Automatica e Informatica (DAUIN), Politecnico di Torino, 10129 Torino, Italy); Aita, A. (IBM Italia, 20090 Milano, Italy); Giusto, E. (Dipartimento di Automatica e Informatica (DAUIN), Politecnico di Torino, 10129 Torino, Italy); Ricossa, D. (Intesa Sanpaolo, 10121 Torino, Italy); Corbelletto, D. (Intesa Sanpaolo, 10121 Torino, Italy); Montrucchio, B. (Dipartimento di Automatica e Informatica (DAUIN), Politecnico di Torino, 10129 Torino, Italy); Ugoccioni, R. (Intesa Sanpaolo, 10121 Torino, Italy)",https://www.mdpi.com/1099-4300/25/4/593/pdf?version=1680237584,https://www.mdpi.com/1099-4300/25/4/593/pdf?version=1680237584,biblio,,,pub.1156761310
"Chan, L.S.H.; Chu, A.M.Y.; So, M.K.P.",A moving-window bayesian network model for assessing systemic risk in financial markets,"Systemic risk refers to the uncertainty that arises due to the breakdown of a financial system. The concept of ""too connected to fail"" suggests that network connectedness plays an important role in measuring systemic risk. In this paper, we first recover a time series of Bayesian networks for stock returns, which allow the direction of links among stock returns to be formed with Markov properties in directed graphs. We rank the stocks in the time series of Bayesian networks based on the topological orders of the stocks in the learned Bayesian networks and develop an order distance, a new measure with which to assess the changes in the topological orders of the stocks. In an empirical study using stock data from the Hang Seng Index in Hong Kong and the Dow Jones Industrial Average, we use the order distance to predict the extreme absolute return, which is a proxy of extreme market risks, or a signal of systemic risks, using the LASSO regression model. Our indicate that the network statistics of the time series of Bayesian networks and the order distance substantially improve the predictability of extreme absolute returns and provide insights into the assessment of systemic risk.",2023,2023-01-20,0,Plos One,"advance directives; bayes theorem; hong kong; models, economic; time factors",,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment; 38 Economics; 3801 Applied Economics","Chan, L.S.H. (Department of Information Systems, Business Statistics and Operations Management, The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong); Chu, A.M.Y. (Department of Social Sciences, The Education University of Hong Kong, Tai Po, Hong Kong); So, M.K.P. (Department of Information Systems, Business Statistics and Operations Management, The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong)",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0279888&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0279888&type=printable,biblio,,,pub.1154711050
"Du, X.; Ren, Y.",A study on the systematic importance of major banks in china,"In recent years, the outbreak of the global financial crisis has made people aware of the threat of the existence of systemic risk to the financial system. In the financial system, there are some banking-type financial institutions that have a pivotal position due to their large scale and other reasons and have a greater influence on systemic financial risks, so the identification and supervision of such financial institutions are very important. In China, banks occupy an important position among various financial institutions, and the main content of this paper is to identify the systemically important banks in China. In the research process, we refer to international disclosures and previous studies to determine the assessment models for different types of banks, then substitute the data of selected institutions to derive their systemic importance scores, select the threshold values to identify systemically important banks, explain the assessmentand finally propose policy recommendations based on the assessment .KeywordsSystemically important banksIndicator methodEntropy method",2023,2023-01-01,0,"Education, Research and Business Technologies",,Systemic risk; China; Position (finance); Financial crisis; Business; Identification (biology); Financial system; Scale (ratio); Finance; Economics; Political science; Geography; Botany; Cartography; Biology; Law; Macroeconomics,,,http://dx.doi.org/10.1007/978-981-19-6755-9_29,,biblio,,182-618-487-206-347,
"Ding, J.; Zhang, Y.; Feng, H.; Sun, H.","Actinomycotic primary canaliculitis: predisposing factors, clinical characteristics, and treatment outcomes","Ocular actinomycosis is an uncommon progressive infection. The study aims to investigate the predisposing factors, clinical characteristics and treatment outcomes of culture-proven cases of Actinomycotic primary canaliculitis. METHODS: Single-center, retrospective, interventional case series. Culture-proven cases of Actinomyces-associated primary canaliculitis diagnosed and treated between January 2017 and December 2021 at the Beijing Tongren Eye Center, Capital Medical University were identified and reviewed for ocular and systemic risk factors, clinical presentations, microbiological profile, treatment modalities and outcomes.Of the 201 patients diagnosed with primary canaliculitis, 22 (10.9%) were caused by Actinomyces. The mean age at onset of 22 patients (21 women and one men) was 54 years. The lower canaliculus was most commonly involved (54.6%). The most frequent symptom was mattering without epiphora (77.3%) and clinical signs were punctal regurgitation of purulent discharge (100%) and expressible concretions (95.5%). Dry eye co-existed in 77.3% of patients, whereas no obvious systemic factors were found. Among 19 cases (86.0%) of identified Actinomyces species, A. odontolyticus (43.5%) was the predominant causative microorganism. There were 50% of patients with polymicrobial infection and the most common additional bacteria isolated were Streptococcus species. Conservative therapy combining repeated canalicular expression and irrigation with susceptible topical antibiotics achieved complete resolution in 86.4% of patients.Dry eye was identified in the vast majority of patients with Actinomycotic canaliculitis. Most cases are odontogenic in origin and the infection occurs in immunocompetent individuals. The conservative method combining canalicular expression and irrigation with topical susceptible antibiotics is recommendable as initial therapy.",2023,2023-03-16,0,European Journal of Ophthalmology,,,32 Biomedical and Clinical Sciences; 3212 Ophthalmology and Optometry,"Ding, J. (Department of Oculoplastic Surgery, Beijing Tongren Eye Center, Beijing Key Laboratory of Ophthalmology and Visual Sciences, Beijing Tongren Hospital, Capital Medical University, Beijing 100730, China.); Zhang, Y. (Beijing Institute of Ophthalmology, Beijing Tongren Eye Center, Beijing Key Laboratory of Ophthalmology and Visual Sciences, Beijing Tongren Hospital, Capital Medical University, Beijing 100730, China.); Feng, H. (Department of Oculoplastic Surgery, Beijing Tongren Eye Center, Beijing Key Laboratory of Ophthalmology and Visual Sciences, Beijing Tongren Hospital, Capital Medical University, Beijing 100730, China.); Sun, H. (Department of Oculoplastic Surgery, Beijing Tongren Eye Center, Beijing Key Laboratory of Ophthalmology and Visual Sciences, Beijing Tongren Hospital, Capital Medical University, Beijing 100730, China.)",,,biblio,,,pub.1156291181
"Zheng, Z.; Yan, M.; Li, L.; Zhang, D.; Zhang, L.",Analysis of ganglion cell-inner plexiform layer thickness in retinal vein occlusion with resolved macular edema,"Purpose: To analyze the retinal ganglion cell-inner plexiform layer (GCIPL) changes in retinal vein occlusion (RVO) eyes with resolved macular edema using optical coherence tomography. Methods: We compared the average and minimum GCIPL thickness in RVO eyes with fellow eyes and healthy controls including 40 unilateral RVO patients and 48 healthy subjects. The average GCIPL thickness in BRVO eyes was segmented into the affected and opposite area according to the site of lesion, comparing them with corresponding areas in fellow eyes. Furthermore, maximum central macular thickness (CMT), visual acuity (VA), and intravitreal injection times were recorded to investigate their relationship with the GCIPL thickness.Despite no significant difference in CMT (P 0.96), the average (P 0.02 andlt 0.001, respectively) and minimum (bothlt 0.001) GCIPL thicknesses were decreased in RVO eyes with resolved macular edema after treatment in comparison to fellow eyes and healthy eyes. Maximum CMT thickness was negatively correlated with the minimum GCIPL thickness (r 0.47,0.003). VA and average GCIPL thickness were associated (rs 0.49,0.002). In a subgroup analysis that only included BRVO patients, the opposite area revealed no significant difference between two eyes (P 0.91) although the affected area in BRVO eyes was decreased (P lt 0.001).A decrease of GCIPL thickness in RVO was observed even after anatomic restoration and associated with VA prognosis. These GCIPL defects could be attributable to systemic risks and RVO itself, not anti-VEGF effects. 2022, The Author(s), under exclusive licence to Springer Nature B.V.",2023,2023-01-01,0,International Ophthalmology,"adult; article; central macular thickness; clinical article; clinical feature; complication; controlled study; female; follow up; follow-up studies; human; humans; macular edema; male; middle aged; optical coherence tomography; pathology; procedures; prognosis; retina ganglion cell; retina vein occlusion; retinal ganglion cells; retinal inner plexiform layer; retinal vein occlusion; retrospective study; risk factor; systemic factors; tomography, optical coherence; visual acuity",Anatomy; Branch retinal vein occlusion; Edema; Ganglion; Macular edema; Medicine; Occlusion; Ophthalmology; Optical coherence tomography; Retinal; Retinal Vein; Surgery; Visual acuity,32 biomedical and clinical sciences; 3212 ophthalmology and optometry,"Zheng, Z. (Department of Ophthalmology, The Affiliated Hospital of Qingdao University, No. 16 Jiangsu Road, Shandong Province, Qingdao, 266003, China); Yan, M. (Department of Ophthalmology, The Affiliated Hospital of Qingdao University, No. 16 Jiangsu Road, Shandong Province, Qingdao, 266003, China); Li, L. (Department of Ophthalmology, The Affiliated Hospital of Qingdao University, No. 16 Jiangsu Road, Shandong Province, Qingdao, 266003, China); Zhang, D. (Department of Ophthalmology, The Affiliated Hospital of Qingdao University, No. 16 Jiangsu Road, Shandong Province, Qingdao, 266003, China); Zhang, L. (Department of Ophthalmology, The Affiliated Hospital of Qingdao University, No. 16 Jiangsu Road, Shandong Province, Qingdao, 266003, China)",https://dx.doi.org/10.1007/s10792-022-02569-y,https://dx.doi.org/10.1007/s10792-022-02569-y https://www.researchsquare.com/article/rs-2030823/latest.pdf,biblio,2-s2.0-85142214758,,
"Tao, T.; Xu, H.; Ma, X.; Cheng, Y.; Shi, X.; Sun, Y.; Zhao, M.; Huang, L.; Li, X.",Analysis of systemic and serum risk factors in patients with age-related macular degeneration and polypoidal choroidal vasculopathy,"It remains controversial whether polypoidal choroidal vasculopathy (PCV) represents a subtype of neovascular age-related macular degeneration (nAMD) or is a distinct disease entity. This study aimed to compare and analyze systemic and serum risk factors for nAMD and PCV in an aging Chinese population. Methods: A retrospective study was performed on 108 patients with nAMD, 131 patients with PCV, and 219 control subjects. Serum levels of total cholesterol (TC), triglycerides (TG), low-density lipoprotein (LDL), high-density lipoprotein (HDL), apolipoprotein A1 (APOA1), apolipoprotein(APOB), complement(C3), and complement(C4) together with data on systemic risk factors, including hyperlipidemia, hypertension, diabetes mellitus (DM), coronary artery disease (CAD), and asthma, were collected. Chi-square tests, independent-samplestests, and binary logistic regression analyses were performed to evaluate the associations of risk factors with nAMD and PCV.Patients with PCV and those with nAMD were likely to have hyperlipidemia (P 0.05), DM was associated with PCV development (OR 0.535,0.044). Regarding serum risk factors, HDL, LDL, TG, APOB, and C3 were significantly associated with nAMD (OR 0.05). Conclusion: Our findings indicate that hyperlipidemia is significantly associated with both nAMD and PCV. Serum lipid and complement levels have an effect on the pathogenesis of nAMD and PCV, and consideration of the differences between systemic and serum risk factors should be taken into account in clinical management. 2023, The Author(s).",2023,2023-01-01,1,Ophthalmology and Therapy,adult; age related macular degeneration; age-related macular degeneration; aged; aging; apolipoprotein a1; apolipoprotein b; article; asthma; case control study; cohort analysis; complement component c3; complement component c4; controlled study; coronary artery disease; diabetes mellitus; dilated fundus examination; eye examination; female; fluorescein fundus angiography; fluorescence angiography; genetic susceptibility; high density lipoprotein; human; hyperlipidemia; hypertension; indocyanine green angiography; lipid blood level; low density lipoprotein; major clinical study; male; optical coherence tomography; polypoidal choroidal vasculopathy; retrospective study; risk factor; risk factors; serum risk factor; slit lamp microscopy; systemic risk factor; triacylglycerol; visual acuity,,32 biomedical and clinical sciences; 3212 ophthalmology and optometry,"Tao, T. (Department of Ophthalmology, Peking University People’s Hospital, Eye Diseases and Optometry Institute, Beijing, 100044, China, Beijing Key Laboratory of Diagnosis and Therapy of Retinal and Choroid Diseases, Beijing, 100044, China, College of Optometry, Peking University Health Science Center, Beijing, 100044, China); Xu, H. (Department of Ophthalmology, Peking University People’s Hospital, Eye Diseases and Optometry Institute, Beijing, 100044, China, Beijing Key Laboratory of Diagnosis and Therapy of Retinal and Choroid Diseases, Beijing, 100044, China, College of Optometry, Peking University Health Science Center, Beijing, 100044, China); Ma, X. (Department of Ophthalmology, Shanghai University of Medicine and Health Sciences Affiliated Zhoupu Hospital, Shanghai, 201318, China); Cheng, Y. (Department of Ophthalmology, Peking University People’s Hospital, Eye Diseases and Optometry Institute, Beijing, 100044, China, Beijing Key Laboratory of Diagnosis and Therapy of Retinal and Choroid Diseases, Beijing, 100044, China, College of Optometry, Peking University Health Science Center, Beijing, 100044, China); Shi, X. (Department of Ophthalmology, Peking University People’s Hospital, Eye Diseases and Optometry Institute, Beijing, 100044, China, Beijing Key Laboratory of Diagnosis and Therapy of Retinal and Choroid Diseases, Beijing, 100044, China, College of Optometry, Peking University Health Science Center, Beijing, 100044, China); Sun, Y. (Department of Ophthalmology, Peking University People’s Hospital, Eye Diseases and Optometry Institute, Beijing, 100044, China, Beijing Key Laboratory of Diagnosis and Therapy of Retinal and Choroid Diseases, Beijing, 100044, China, College of Optometry, Peking University Health Science Center, Beijing, 100044, China); Zhao, M. (Department of Ophthalmology, Peking University People’s Hospital, Eye Diseases and Optometry Institute, Beijing, 100044, China, Beijing Key Laboratory of Diagnosis and Therapy of Retinal and Choroid Diseases, Beijing, 100044, China, College of Optometry, Peking University Health Science Center, Beijing, 100044, China); Huang, L. (Department of Ophthalmology, Peking University People’s Hospital, Eye Diseases and Optometry Institute, Beijing, 100044, China, Beijing Key Laboratory of Diagnosis and Therapy of Retinal and Choroid Diseases, Beijing, 100044, China, College of Optometry, Peking University Health Science Center, Beijing, 100044, China); Li, X. (Department of Ophthalmology, Peking University People’s Hospital, Eye Diseases and Optometry Institute, Beijing, 100044, China, Beijing Key Laboratory of Diagnosis and Therapy of Retinal and Choroid Diseases, Beijing, 100044, China, College of Optometry, Peking University Health Science Center, Beijing, 100044, China, Department of Ophthalmology, Xiamen Eye Center of Xiamen University, Xiamen, 361003, China)",https://dx.doi.org/10.1007/s40123-023-00650-y,https://dx.doi.org/10.1007/s40123-023-00650-y https://link.springer.com/content/pdf/10.1007/s40123-023-00650-y.pdf,biblio,2-s2.0-85146598158,,
"Canonico, M.E.; Piccolo, R.; Avvedimento, M.; Leone, A.; Esposito, S.; Franzone, A.; Giugliano, G.; Gargiulo, G.; Hess, C.N.; Berkowitz, S.D.; Hsia, J.; Cirillo, P.; Esposito, G.; Bonaca, M.P.",Antithrombotic therapy in peripheral artery disease: current evidence and future directions,"Patients with peripheral artery disease (PAD) are at an increased risk of major adverse cardiovascular events, and those with disease in the lower extremities are at risk of major adverse limb events primarily driven by atherothrombosis. Traditionally, PAD refers to diseases of the arteries outside of the coronary circulation, including carotid, visceral and lower extremity peripheral artery disease, and the heterogeneity of PAD patients is represented by different atherothrombotic pathophysiology, clinical features and related antithrombotic strategies. The risk in this diverse population includes systemic risk of cardiovascular events as well as risk related to the diseased territory (e.g., artery to artery embolic stroke for patients with carotid disease, lower extremity artery to artery embolism and atherothrombosis in patients with lower extremity disease). Moreover, until the last decade, clinical data on antithrombotic management of PAD patients have been drawn from subanalyses of randomized clinical trials addressing patients affected by coronary artery disease. The high prevalence and related poor prognosis in PAD patients highlight the pivotal role of tailored antithrombotic therapy in patients affected by cerebrovascular, aortic and lower extremity peripheral artery disease. Thus, the proper assessment of thrombotic and hemorrhagic risk in patients with PAD represents a key clinical challenge that must be met to permit the optimal antithrombotic prescription for the various clinical settings in daily practice. The aim of this updated review is to analyze different features of atherothrombotic disease as well as current evidence of antithrombotic management in asymptomatic and secondary prevention in PAD patients according to each arterial bed.",2023,2023-04-10,0,Journal of Cardiovascular Development and Disease,,,32 Biomedical and Clinical Sciences; 3201 Cardiovascular Medicine and Haematology,"Canonico, M.E. (CPC Clinical Research, Department of Medicine, University of Colorado, Aurora, CO 80045, USA; Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Piccolo, R. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Avvedimento, M. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy; Quebec Heart and Lung Institute, Laval University, Quebec City, QC G1V0A6, Canada); Leone, A. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Esposito, S. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Franzone, A. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Giugliano, G. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Gargiulo, G. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Hess, C.N. (CPC Clinical Research, Department of Medicine, University of Colorado, Aurora, CO 80045, USA); Berkowitz, S.D. (CPC Clinical Research, Department of Medicine, University of Colorado, Aurora, CO 80045, USA); Hsia, J. (CPC Clinical Research, Department of Medicine, University of Colorado, Aurora, CO 80045, USA); Cirillo, P. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Esposito, G. (Department of Advanced Biomedical Sciences, University of Naples Federico II, 80131 Naples, Italy); Bonaca, M.P. (CPC Clinical Research, Department of Medicine, University of Colorado, Aurora, CO 80045, USA)",https://www.mdpi.com/2308-3425/10/4/164/pdf?version=1681129076,https://www.mdpi.com/2308-3425/10/4/164/pdf?version=1681129076,biblio,,,pub.1157170652
