authors,title,abstract,year,pub_date,n_cited,source,kws,fos,anzsrc_2020,auth_affils,link,links,bib_src,scopus_id,lens_id,dims_id
"Gaspar, R.; Domingos, S.; Toscano, H.; Filipe, J.; Leiras, G.; Raposo, B.; Pereira, C.; Godinho, C.; Francisco, R.; Silva, C.; Arriaga, M.T.d.",Crises social sensing: longitudinal monitoring of social perceptions of systemic risk during public health crisis,,2023,2023-01-30,0,Journal of Risk Research,,Perception; Systemic risk; Social risk; Public health; Sociology; Political science; Environmental health; Psychology; Medicine; Economics; Financial crisis; Nursing; Neuroscience; Macroeconomics,,,http://dx.doi.org/10.1080/13669877.2023.2170450,,biblio,,018-487-888-833-807,
"Lei, A.; Zhao, H.; Tian, Y.",The intersectoral systemic risk shock of emergency crisis events in china's financial market: nonparametric methods and panel event study analyses,"By employing two systemic risk methods, the marginal expected shortfall (MES) and the component expected shortfall (CES), this paper measures the systemic risk level of all sectors in China’s financial market from 2014 to 2022 thereby, it researches the total effect of sectoral systemic risk using a panel event study model during the three main emergency crisis events. Moreover, two nonparametric methods are utilized, the Wilcoxon signed rank sum test and the bootstrap Kolmogorov Smirnov test, in order to investigate the changes in individual effects and the dominant ranks of sectoral systemic risk. The empirical show that (1) the mean values and volatilities of CES and MES of all sectors have a higher level of magnitude in the extreme risk status than those in the normal risk status (2) by comparing the total effects of three crisis events, we find that different from the continuous shock effect caused by two other events, sectoral systemic risk has a hysteresis effect on the entire market after the outbreak of COVID-19 (3) the long-term and short-term individual effects of sectoral systemic risk in all sectors are different from each other during three events and (4) the dominance tests of MES are more sensitive and thus better demonstrate the changes in the rankings of sectoral systemic risk than the dominant tests of CES during the emergency crisis events.",2023,2023-03-12,0,Systems,,Systemic risk; Financial crisis; Econometrics; Shock (circulatory); Wilcoxon signed-rank test; Economics; Panel data; Medicine; Macroeconomics; Economic growth; Internal medicine; Curriculum,,,http://dx.doi.org/10.3390/systems11030147,,biblio,,195-467-484-694-767,
"Maslak, G.D.; Senel, G.",Bank consolidation and systemic risk:a during the 2008 financial crisis,"In this paper, we analyze the relationship between US bank consolidation and systemic risk before, during, and after the 2008 financial crisis. We find that mergers during the crisis decreased market-adjusted systemic risk. This effect was more pronounced for mergers with smaller acquirers of larger targets. Meanwhile, mergers of larger banks increased the aggregate systemic risk. In the years following the crisis, we find that banks that merged during the crisis had lower return volatility and fewer nonperforming loans than non-merged banks. Comparing pre-and post-crisis mergers, we do not find a significant difference with respect to their effect on systemic risk.",2022,2022-03-10,0,Journal of Financial Services Research,,,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment","Maslak, G.D. (Department of Economics, Bowdoin College, 9700 College Station, 04011, Brunswick, ME, USA); Senel, G. (Department of Economics, Bowdoin College, 9700 College Station, 04011, Brunswick, ME, USA)",,,biblio,,,pub.1146183627
"Ingham, H.","COVID 19, the great recession and economic recovery: A tale of two crises","COVID-19 caused a major economic downturn, the like of which had not been seen since the Great Recession although the underlying causes of the two crises were very different systemic risk versus a virus. Here we look at how flexible work practices, allied with adequate supports and lifelong learning opportunities, aided economic recovery following the earlier crisis in order to see if there are any lessons to be learnt for post-pandemic recovery. Overall, the indicated that flexicurity provided a modest growth dividend during the Great Recession, typically no more than one percentage point. Of the individual components, the short-run indicated that security along with life-long learning and part-time work proved the most beneficial, although flexible work practices also boosted growth, albeit to a lesser extent. For flexible labour markets, the long-run indicated that the growth gains were highest in trusting economies with, or without, social partner engagement.",2022,2022-07-07,2,Jcms Journal of Common Market Studies,covid‐19; flexible working; labour market support; the great recession,Acoustics; Coronavirus disease 2019 (COVID-19); Development economics; Disease; Dividend; Economic growth; Economic recovery; Economics; Engineering; Finance; Flexicurity; Global recession; Great recession; Infectious disease (medical specialty); Labour economics; Macroeconomics; Mechanical engineering; Medicine; Order (exchange); Pandemic; Pathology; Period (music); Physics; Recession; Turning point; Unemployment; Work (physics),44 human society; 4407 policy and administration; 4408 political science,"Ingham, H. (Department of Economics, Lancaster University, Lancaster)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9349527,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9349527,biblio,,,pub.1149327828
"Kuang, Y.; Douady, R.",Crisis risk prediction with concavity from polymodel,"Financial crises are an important research topic because of their impact on the economy, businesses, and populations. However, prior research tends to generate reactive systemic risk measures, in the sense that the measure surges after the crisis starts. Few of them succeed in warning of financial crises in advance. In this paper, we first sketch a toy model that produces normal mixture distributions based on a dynamic regime switching model. We derive that the relative concavity among various indices tends to increase before a crisis. Using Polymodel theory, we introduce a measure of concavity as a crisis risk indicator, and test it against known crises observed in the past. We validate this indicator by a trading strategy holding long or short positions on theP 500 Index, depending on the indicator value. 2022",2022,2022-01-01,1,Journal of Dynamics and Games,economics; finance; financial crisis; investment strategy; nonlinearity; normal mixtures; polymodel; research topics; risk assessment; risk measures; risk predictions; systemic risk; systemic risks; toy models,,,"Kuang, Y. (State University of New York at Stony Brook, Stony Brook, NY, United States); Douady, R. (Sorbonne Economics Center, University Paris 1-Sorbonne, CNRS, France)",https://dx.doi.org/10.3934/JDG.2021027,https://dx.doi.org/10.3934/JDG.2021027,biblio,2-s2.0-85122566861,,
"Stević, V.; Rašajski, M.; Dankulov, M.M.","Evolution of cohesion between USA financial sector companies before, during, and post-economic crisis: complex networks approach","Various mathematical frameworks play an essential role in understanding the economic systems and the emergence of crises in them. Understanding the relation between the structure of connections between the system's constituents and the emergence of a crisis is of great importance. In this paper, we propose a novel method for the inference of economic systems' structures based on complex networks theory utilizing the time series of prices. Our network is obtained from the correlation matrix between the time series of companies' prices by imposing a threshold on the values of the correlation coefficients. The optimal value of the threshold is determined by comparing the spectral properties of the threshold network and the correlation matrix. We analyze the community structure of the obtained networks and the relation between communities' inter and intra-connectivity as indicators of systemic risk. Our show how an economic system's behavior is related to its structure and how the crisis is reflected in changes in the structure. We show how regulation and deregulation affect the structure of the system. We demonstrate that our method can identify high systemic risks and measure the impact of the actions taken to increase the system's stability.",2022,2022-07-20,0,Entropy,,,49 Mathematical Sciences; 51 Physical Sciences,"Stević, V. (University of Belgrade-School of Electrical Engineering, Bulevar Kralja Aleksandra 73, 11120 Belgrade, Serbia;, vojin.stevic@gmail.com, (V.S.);, rasajski@etf.bg.ac.rs, (M.R.)); Rašajski, M. (University of Belgrade-School of Electrical Engineering, Bulevar Kralja Aleksandra 73, 11120 Belgrade, Serbia;, vojin.stevic@gmail.com, (V.S.);, rasajski@etf.bg.ac.rs, (M.R.)); Dankulov, M.M. (Institute of Physics Belgrade, University of Belgrade, Pregrevica 118, 11080 Belgrade, Serbia)",https://www.mdpi.com/1099-4300/24/7/1005/pdf?version=1658313372,https://www.mdpi.com/1099-4300/24/7/1005/pdf?version=1658313372,biblio,,,pub.1149647791
"Akhtaruzzaman, M.; Boubaker, S.; Nguyen, D.K.; Rahman, M.R.",Systemic risk-sharing framework of cryptocurrencies in the COVID 19 crisis,"We use the Conditional Value-at-Risk (CoVaR) model to develop the systemic contagion index (SCI) for cryptocurrencies and examine their spillover effects. The SCI exhibits the highest value during the COVID-19 period, indicating evidence of pandemic-driven contagion channels. Similarly, cryptocurrency systemic networks show that the COVID-19 period induced increased interconnections, highlighting a higher number of systemic contagion channels. Our study has practical implications for investors to identify the systemic vulnerability of each cryptocurrency and make informed decisions during the crisis and non-crisis periods.",2022,2022-03-11,30,Finance Research Letters,,,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment","Akhtaruzzaman, M. (Peter Faber Business School, Australian Catholic University, Sydney, Australia.); Boubaker, S. (EM Normandie Business School, Métis Lab, France.; International School, Vietnam National University, Hanoi, Vietnam.); Nguyen, D.K. (IPAG Business School, Paris, France.; Faculty of Finance and Accounting, Prague University of Economics and Business, Prague, Czech Republic.); Rahman, M.R. (Vinod Gupta School of Management, Indian Institute of Technology Kharagpur, India.)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8912991,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8912991,biblio,,,pub.1146184969
"Che-Castaldo, J.; Cousin, R.; Daryanto, S.; Deng, G.; Feng, M.L.E.; Gupta, R.; Hong, D.; McGranaghan, R.; Owolabi, O.O.; Qu, T.; Ren, W.; Schafer, T.L.J.; Sharma, A.; Shen, C.; Sherman, M.G.; Sunter, D.A.; Tao, B.; Wang, L.; Matteson, D.S.",Critical risk indicators (CRIs) for the electric power grid: a survey and discussion of interconnected effects,"The electric power grid is a critical societal resource connecting multiple infrastructural domains such as agriculture, transportation, and manufacturing. The electrical grid as an infrastructure is shaped by human activity and public policy in terms of demand and supply requirements. Further, the grid is subject to changes and stresses due to diverse factors including solar weather, climate, hydrology, and ecology. The emerging interconnected and complex network dependencies make such interactions increasingly dynamic, posing novel risks, and presenting new challenges to manage the coupled human natural system. This paper provides a survey of models and methods that seek to explore the significant interconnected impact of the electric power grid and interdependent domains. We also provide relevant critical risk indicators (CRIs) across diverse domains that may be used to assess risks to electric grid reliability, including climate, ecology, hydrology, finance, space weather, and agriculture. We discuss the convergence of indicators from individual domains to explore possible systemic risk, i.e., holistic risk arising from cross-domain interconnections. Further, we propose a compositional approach to risk assessment that incorporates diverse domain expertise and information, data science, and computer science to identify domain-specific CRIs and their union in systemic risk indicators. Our study provides an important first step towards data-driven analysis and predictive modeling of risks in interconnected human natural systems.",2021,2021-07-17,10,Environment Systems and Decisions,critical risk indicator; electric power grid; multi-disciplinary; risk; systemic risk; uncertainty,Complex network; Computer science; Electrical grid; Grid; Interdependence; Resource (project management); Risk analysis (engineering); Risk assessment; Subject-matter expert; Systemic risk,41 environmental sciences; 4101 climate change impacts and adaptation,"Che-Castaldo, J.P. (Conservation & Science Department, Lincoln Park Zoo, 2001 N. Clark St. Chicago, Chicago, IL, USA); Cousin, R. (International Research Institute for Climate and Society, Earth Institute/Columbia University, New York, USA); Daryanto, S. (Department of Plant and Soil Sciences, College of Agriculture, Food and Environment, University of Kentucky, Lexington, USA); Deng, G. (Department of Statistics and Data Science, Cornell University, New York, USA); Feng, M.E. (Conservation & Science Department, Lincoln Park Zoo, 2001 N. Clark St. Chicago, Chicago, IL, USA); Gupta, R.K. (Halicioglu Data Science Institute and Department of Computer Science & Engineering, University of California, San Diego, CA, USA); Hong, D. (Halicioglu Data Science Institute and Department of Computer Science & Engineering, University of California, San Diego, CA, USA); McGranaghan, R.M. (Atmospheric and Space Technology Research Associates, Louisville, CO, USA); Owolabi, O.O. (Department of Civil and Environmental Engineering, Tufts University, Medford, MA, USA); Qu, T. (Department of Finance, Isenberg School of Management, UMASS Amherst, Amherst, MA, USA); Ren, W. (Department of Plant and Soil Sciences, College of Agriculture, Food and Environment, University of Kentucky, Lexington, USA); Schafer, T.L.J. (Department of Statistics and Data Science, Cornell University, New York, USA); Sharma, A. (Civil and Environmental Engineering, Pennsylvania State University, State College, PA, USA; Department of Hydrology, Indian Institute of Technology Roorkee, Roorkee, India); Shen, C. (Civil and Environmental Engineering, Pennsylvania State University, State College, PA, USA); Sherman, M.G. (Department of Finance, Isenberg School of Management, UMASS Amherst, Amherst, MA, USA); Sunter, D.A. (Department of Civil and Environmental Engineering, Tufts University, Medford, MA, USA; Department of Mechanical Engineering, Tufts University, Medford, MA, USA; Tufts Institute of the Environment, Tufts University, Medford, MA, USA; Center for International Environment and Resource Policy at The Fletcher School, Tufts University, Medford, MA, USA); Tao, B. (Department of Plant and Soil Sciences, College of Agriculture, Food and Environment, University of Kentucky, Lexington, USA); Wang, L. (Department of Management Science, Miami Herbert Business School, University of Miami, Coral Gables, FL, USA); Matteson, D.S. (Department of Statistics and Data Science, Cornell University, New York, USA)",http://dx.doi.org/10.1007/s10669-021-09822-2,https://arxiv.org/pdf/2101.07771 https://econpapers.repec.org/RePEc:spr:envsyd:v:41:y:2021:i:4:d:10.1007_s10669-021-09822-2 https://link.springer.com/article/10.1007/s10669-021-09822-2 https://link.springer.com/content/pdf/10.1007/s10669-021-09822-2.pdf https://pennstate.pure.elsevier.com/en/publications/critical-risk-indicators-cris-for-the-electric-power-grid-a-surve https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8286170,biblio,,,pub.1139747247
"Karanasos, M.; Yfanti, S.; Hunter, J.","Emerging stock market volatility and economic fundamentals: the importance of US uncertainty spillovers, financial and health crises","This paper studies the US and global economic fundamentals that exacerbate emerging stock markets volatility and can be considered as systemic risk factors increasing financial stability vulnerabilities. We apply the bivariate HEAVY system of daily and intra-daily volatility equations enriched with powers, leverage, and macro-effects that improve its forecasting accuracy significantly. Our macro-augmented asymmetric power HEAVY model estimates the inflammatory effect of US uncertainty and infectious disease news impact on equities alongside global credit and commodity factors on emerging stock index realized volatility. Our study further demonstrates the power of the economic uncertainty channel, showing that higher US policy uncertainty levels increase the leverage effects and the impact from the common macro-financial proxies on emerging markets’ financial volatility. Lastly, we provide evidence on the crucial role of both financial and health crisis events (the 2008 global financial turmoil and the recent Covid-19 pandemic) in raising markets’ turbulence and amplifying the volatility macro-drivers impact, as well.",2021,2021-04-21,12,Annals of Operations Research,,,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment","Karanasos, M. (Department of Economics and Finance, Brunel University London, Kingston Lane, UB8 3PH, Uxbridge, UK); Yfanti, S. (School of Business and Economics, Loughborough University, Epinal Way, LE11 3TU, Loughborough, UK); Hunter, J. (Department of Economics and Finance, Brunel University London, Kingston Lane, UB8 3PH, Uxbridge, UK)",https://link.springer.com/content/pdf/10.1007/s10479-021-04042-y.pdf,https://link.springer.com/content/pdf/10.1007/s10479-021-04042-y.pdf,biblio,,,pub.1137370967
"Zhu, B.; Lin, R.; Deng, Y.; Chen, P.; Chevallier, J.",Intersectoral systemic risk spillovers between energy and agriculture under the financial and COVID-19 crises,"Considering the severity and frequency of industry-specific shocks, this paper examines how sector-induced contagion effects caused by significant crises (e.g., the global financial crisis and COVID-19) propagate between energy and agricultural sectors worldwide. Relevant literature fails to concern the influence of these cross-sectoral transmission mechanisms on the energy-agriculture nexus and its relevance. By modifying the copula-extreme value theory-marginal expected shortfall (Copula-EVT-MES) method and using daily commodity returns from 2005M3 2020M5, our study captures significant intersectoral systemic risk spillovers, with asymmetrical and persistent patterns in energy-agricultural pairs. Furthermore, the bioethanol production (physical channel) and the financialization of commodities (financial channel) mainly relate to the shock spillovers. Compared to the financial crisis, the systemic risk spillovers in the COVID-19 crisis rely more on the physical channel, which emphasizes the importance of bioenergy-related shocks. The macro-conditions and supply-demand shocks are also important determinants for such spillovers during the ongoing crisis. 2021 Elsevier B.V.",2021,2021-01-01,12,Economic Modelling,agricultural sector; bioenergy; covid-19; fossil energy; intersectoral systemic risk spillover,,,"Zhu, B. (School of Finance, Southwestern University of Finance and Economics, Chengdu, China); Lin, R. (School of Finance, Southwestern University of Finance and Economics, Chengdu, China); Deng, Y. (School of Finance, Southwestern University of Finance and Economics, Chengdu, China); Chen, P. (School of Finance, Southwestern University of Finance and Economics, Chengdu, China); Chevallier, J. (IPAG Business School (IPAG Lab), 184 bd Saint-Germain, Paris, 75006, France, Université Paris 8 (LED), 2 rue de la Liberté, Saint-Denis, 93526, France)",https://dx.doi.org/10.1016/j.econmod.2021.105651,https://dx.doi.org/10.1016/j.econmod.2021.105651,biblio,2-s2.0-85115928504,,
