title,Document,Topic,Name,Top_n_words,Probability,Representative_document
A comparison of systemic and systematic risks of malware encounters in consumer and enterprise environments,A comparison of systemic and systematic risks of malware encounters in consumer and enterprise environments,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.7562304973669801,False
A compositional analysis of systemic risk in european financial institutions,A compositional analysis of systemic risk in european financial institutions,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.904212146660424,False
A description of the COVID-19 outbreak role in financial risk forecasting,A description of the COVID-19 outbreak role in financial risk forecasting,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.8637909665882755,False
A more general quantum credit risk analysis framework,A more general quantum credit risk analysis framework,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,1.0,False
A moving-window bayesian network model for assessing systemic risk in financial markets,A moving-window bayesian network model for assessing systemic risk in financial markets,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.9776611790768578,False
A study on the systematic importance of major banks in china,A study on the systematic importance of major banks in china,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.8476911746021092,False
"Actinomycotic primary canaliculitis: predisposing factors, clinical characteristics, and treatment outcomes","Actinomycotic primary canaliculitis: predisposing factors, clinical characteristics, and treatment outcomes",-1,-1_factors_and_obstructive_treatment,factors - and - obstructive - treatment - predisposing - tipping - sleep - primary - islands - relationship,0.0,True
Analysis of ganglion cell-inner plexiform layer thickness in retinal vein occlusion with resolved macular edema,Analysis of ganglion cell-inner plexiform layer thickness in retinal vein occlusion with resolved macular edema,1,1_of_and_in_development,of - and - in - development - drug - with - for - factors - rp - application,0.8555221529167822,False
Analysis of systemic and serum risk factors in patients with age-related macular degeneration and polypoidal choroidal vasculopathy,Analysis of systemic and serum risk factors in patients with age-related macular degeneration and polypoidal choroidal vasculopathy,1,1_of_and_in_development,of - and - in - development - drug - with - for - factors - rp - application,1.0,False
Antithrombotic therapy in peripheral artery disease: current evidence and future directions,Antithrombotic therapy in peripheral artery disease: current evidence and future directions,1,1_of_and_in_development,of - and - in - development - drug - with - for - factors - rp - application,1.0,False
Application of qbd based approach in development and validation of RP HPLC method for simultaneous estimation of methotrexate and baicalin in dual drug loaded liposomes,Application of qbd based approach in development and validation of RP HPLC method for simultaneous estimation of methotrexate and baicalin in dual drug loaded liposomes,1,1_of_and_in_development,of - and - in - development - drug - with - for - factors - rp - application,1.0,True
Application of qbd based approach in development and validation of RP HPLC method for simultaneous estimation of methotrexate and mangiferin in dual drug loaded liposomes,Application of qbd based approach in development and validation of RP HPLC method for simultaneous estimation of methotrexate and mangiferin in dual drug loaded liposomes,1,1_of_and_in_development,of - and - in - development - drug - with - for - factors - rp - application,0.998426125467223,True
Application of qbd based approach to the development and validation of an RP HPLC method for simultaneous estimation of pregabalin and naringin in dual drug loaded liposomes,Application of qbd based approach to the development and validation of an RP HPLC method for simultaneous estimation of pregabalin and naringin in dual drug loaded liposomes,1,1_of_and_in_development,of - and - in - development - drug - with - for - factors - rp - application,1.0,True
"Associations of inflammatory, metabolic, malnutrition, and frailty indexes with multimorbidity incidence and progression, and mortality impact: singapore longitudinal aging study","Associations of inflammatory, metabolic, malnutrition, and frailty indexes with multimorbidity incidence and progression, and mortality impact: singapore longitudinal aging study",1,1_of_and_in_development,of - and - in - development - drug - with - for - factors - rp - application,1.0,False
Bank systemic risk in southeast asian economies,Bank systemic risk in southeast asian economies,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,1.0,False
Business impacts on economic inequality: an agenda for defining related human rights impacts and economic inequality due diligence,Business impacts on economic inequality: an agenda for defining related human rights impacts and economic inequality due diligence,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.7434541603789808,False
"Can UNESCO use blockchain to ensure the intangible cultural heritage of humanity A systemic approach that explains the why, how, and difficulties of such a venture","Can UNESCO use blockchain to ensure the intangible cultural heritage of humanity A systemic approach that explains the why, how, and difficulties of such a venture",0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.890285866149451,False
Can corporate financing through the stock market create systemic risk evidence from the BRVM securities market,Can corporate financing through the stock market create systemic risk evidence from the BRVM securities market,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.9080075139516258,False
Cascading failure in guarantee networks from the perspective of equilibrium,Cascading failure in guarantee networks from the perspective of equilibrium,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.8322597909487944,False
Climate risk and financial systems: A nonlinear network connectedness analysis,Climate risk and financial systems: A nonlinear network connectedness analysis,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.9861609993888337,False
Clinical trait and systemic risk of familial diabetes mellitus according to its onset timing and number: A community-based koges cohort study,Clinical trait and systemic risk of familial diabetes mellitus according to its onset timing and number: A community-based koges cohort study,1,1_of_and_in_development,of - and - in - development - drug - with - for - factors - rp - application,0.9951297930091629,False
Conceptual models of drought risks for europe: a step towards a systemic perspective on drought,Conceptual models of drought risks for europe: a step towards a systemic perspective on drought,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.7160203836788444,False
Conceptual-Analytical approaches to threats in the digital economy,Conceptual-Analytical approaches to threats in the digital economy,0,0_risk_systemic_the_and,risk - systemic - the - and - of - in - financial - on - from - network,0.8050712285959027,False
